order_item_id,order_id,product_id,quantity,unit_price,total_price
1,1841,23,5,232.08,1160.4
2,1946,253,3,497.0,1491.0
3,1889,71,1,283.49,283.49
4,198,114,3,249.43,748.29
5,2441,437,4,24.44,97.76
6,54,47,1,259.96,259.96
7,1076,210,5,33.87,169.35
8,394,229,2,219.05,438.1
9,90,343,1,153.21,153.21
10,1543,215,4,75.72,302.88
11,306,242,2,112.61,225.22
12,2657,161,2,249.26,498.52
13,46,406,5,455.56,2277.8
14,1834,373,2,371.72,743.44
15,1322,59,1,193.1,193.1
16,903,324,2,431.82,863.64
17,656,310,3,143.94,431.82
18,1638,347,2,168.19,336.38
19,1632,322,1,184.81,184.81
20,2841,447,3,242.95,728.85
21,1354,376,2,336.6,673.2
22,171,234,5,155.23,776.15
23,1705,293,4,338.23,1352.92
24,2766,72,1,33.07,33.07
25,1259,299,2,414.97,829.94
26,2991,221,3,398.64,1195.92
27,283,263,1,360.55,360.55
28,1573,9,2,465.42,930.84
29,1457,124,4,105.53,422.12
30,1545,295,3,28.59,85.77
31,2496,437,3,24.44,73.32
32,1546,187,5,412.71,2063.55
33,807,183,3,328.43,985.29
34,2712,432,3,447.84,1343.52
35,1642,6,2,271.65,543.3
36,1363,465,4,149.77,599.08
37,1023,191,1,99.81,99.81
38,2776,198,4,155.88,623.52
39,1326,331,5,134.29,671.45
40,622,362,4,264.04,1056.16
41,691,14,4,59.94,239.76
42,1366,108,3,339.8,1019.4
43,1636,134,4,101.82,407.28
44,325,60,3,28.31,84.93
45,1304,345,1,246.56,246.56
46,497,167,4,434.07,1736.28
47,2206,456,2,480.68,961.36
48,847,195,5,437.75,2188.75
49,14,61,2,379.12,758.24
50,679,427,5,404.97,2024.85
51,605,111,4,129.1,516.4
52,1038,201,1,337.57,337.57
53,2774,75,3,353.59,1060.77
54,2074,385,1,324.13,324.13
55,2709,459,4,92.18,368.72
56,951,184,2,345.54,691.08
57,475,449,4,100.95,403.8
58,2537,284,5,485.76,2428.8
59,1958,466,4,86.21,344.84
60,1717,189,2,107.15,214.3
61,1148,250,1,17.55,17.55
62,2701,237,4,467.89,1871.56
63,2362,377,3,404.65,1213.95
64,2240,437,4,24.44,97.76
65,1189,51,5,82.01,410.05
66,1225,441,2,376.33,752.66
67,2048,380,4,265.41,1061.64
68,1379,397,4,287.26,1149.04
69,1335,460,4,379.01,1516.04
70,852,461,5,301.35,1506.75
71,1408,143,2,442.11,884.22
72,2587,198,3,155.88,467.64
73,2255,216,1,335.79,335.79
74,1270,403,5,366.79,1833.95
75,1732,383,2,455.37,910.74
76,782,473,2,321.61,643.22
77,605,197,2,219.25,438.5
78,2130,283,4,482.03,1928.12
79,337,240,1,415.28,415.28
80,2722,347,4,168.19,672.76
81,1038,233,3,298.01,894.03
82,159,439,4,207.63,830.52
83,1685,99,2,70.4,140.8
84,1592,233,4,298.01,1192.04
85,506,459,4,92.18,368.72
86,91,320,4,109.83,439.32
87,2964,51,1,82.01,82.01
88,1247,109,3,137.21,411.63
89,7,431,2,391.07,782.14
90,1845,31,4,463.02,1852.08
91,276,410,2,468.81,937.62
92,452,445,4,361.17,1444.68
93,1628,289,5,319.32,1596.6
94,2426,479,2,37.9,75.8
95,2404,256,1,78.04,78.04
96,2948,114,3,249.43,748.29
97,627,274,1,76.08,76.08
98,428,278,5,172.39,861.95
99,1404,371,2,386.41,772.82
100,1357,358,3,45.1,135.3
101,1409,186,3,132.76,398.28
102,631,20,2,443.54,887.08
103,2594,196,3,162.16,486.48
104,2199,262,5,91.71,458.55
105,163,206,2,322.71,645.42
106,204,15,2,483.8,967.6
107,1597,301,2,416.56,833.12
108,1440,366,5,171.38,856.9
109,235,374,3,152.61,457.83
110,1066,281,2,399.35,798.7
111,2795,316,3,374.85,1124.55
112,1841,140,1,17.36,17.36
113,2889,172,4,133.71,534.84
114,1214,478,1,308.94,308.94
115,2490,308,3,72.22,216.66
116,1026,180,4,429.06,1716.24
117,1440,264,5,125.24,626.2
118,2891,106,1,286.43,286.43
119,1828,179,2,273.45,546.9
120,2180,30,2,370.73,741.46
121,1317,394,3,334.52,1003.56
122,1126,221,2,398.64,797.28
123,2370,171,5,494.64,2473.2
124,371,214,4,228.2,912.8
125,2245,229,1,219.05,219.05
126,985,292,3,114.35,343.05
127,2333,167,4,434.07,1736.28
128,2146,289,3,319.32,957.96
129,492,3,4,144.42,577.68
130,2161,206,1,322.71,322.71
131,2334,230,4,372.58,1490.32
132,412,109,4,137.21,548.84
133,995,95,4,156.67,626.68
134,950,334,3,399.19,1197.57
135,2863,388,3,163.06,489.18
136,2833,248,3,142.49,427.47
137,2347,131,3,402.02,1206.06
138,184,379,4,485.59,1942.36
139,1973,464,5,244.4,1222.0
140,423,176,3,317.03,951.09
141,703,14,2,59.94,119.88
142,2990,460,4,379.01,1516.04
143,2690,143,3,442.11,1326.33
144,2784,356,2,474.59,949.18
145,2510,383,3,455.37,1366.11
146,2627,159,4,35.08,140.32
147,1411,105,3,127.87,383.61
148,2771,240,1,415.28,415.28
149,234,123,3,344.13,1032.39
150,767,440,5,432.27,2161.35
151,1193,7,4,374.29,1497.16
152,1143,234,4,155.23,620.92
153,8,398,3,142.56,427.68
154,491,200,1,213.99,213.99
155,2299,500,5,489.05,2445.25
156,635,8,1,426.19,426.19
157,1796,198,1,155.88,155.88
158,1711,457,2,134.37,268.74
159,839,61,4,379.12,1516.48
160,1882,214,4,228.2,912.8
161,1852,115,4,270.84,1083.36
162,1624,132,2,200.36,400.72
163,539,17,1,366.59,366.59
164,270,191,1,99.81,99.81
165,867,42,3,461.98,1385.94
166,1213,299,3,414.97,1244.91
167,2168,479,5,37.9,189.5
168,1060,19,4,56.61,226.44
169,772,182,3,301.42,904.26
170,857,434,4,476.39,1905.56
171,2315,8,4,426.19,1704.76
172,34,409,2,327.01,654.02
173,2810,235,5,151.42,757.1
174,934,130,2,393.65,787.3
175,1493,297,5,80.23,401.15
176,1848,316,5,374.85,1874.25
177,1694,14,2,59.94,119.88
178,1302,138,5,39.68,198.4
179,1053,330,5,95.17,475.85
180,677,186,2,132.76,265.52
181,373,234,1,155.23,155.23
182,1814,497,1,353.45,353.45
183,1632,259,5,455.51,2277.55
184,2307,390,2,366.58,733.16
185,2063,391,4,493.09,1972.36
186,1890,139,1,408.55,408.55
187,2874,497,3,353.45,1060.35
188,2250,289,2,319.32,638.64
189,1533,65,5,347.94,1739.7
190,1319,470,5,425.5,2127.5
191,1059,73,2,425.67,851.34
192,2367,388,5,163.06,815.3
193,716,293,2,338.23,676.46
194,2525,156,3,240.71,722.13
195,2533,485,2,414.93,829.86
196,1012,482,1,377.6,377.6
197,1497,75,2,353.59,707.18
198,689,267,2,98.26,196.52
199,636,137,5,493.12,2465.6
200,1594,383,4,455.37,1821.48
201,907,181,4,361.05,1444.2
202,2821,361,1,347.11,347.11
203,523,154,4,345.28,1381.12
204,2676,453,2,279.36,558.72
205,2035,270,2,17.24,34.48
206,180,168,4,284.44,1137.76
207,620,336,2,287.21,574.42
208,2444,99,1,70.4,70.4
209,967,454,4,291.56,1166.24
210,2248,293,3,338.23,1014.69
211,720,210,4,33.87,135.48
212,1520,104,5,247.08,1235.4
213,2759,167,2,434.07,868.14
214,1023,206,3,322.71,968.13
215,1920,375,3,355.86,1067.58
216,1563,437,1,24.44,24.44
217,1320,235,2,151.42,302.84
218,1343,170,2,128.43,256.86
219,2938,159,2,35.08,70.16
220,481,204,1,291.73,291.73
221,738,232,1,363.18,363.18
222,1899,230,1,372.58,372.58
223,2592,144,4,229.73,918.92
224,216,35,5,11.34,56.7
225,1484,164,5,224.64,1123.2
226,2938,458,2,320.56,641.12
227,340,410,1,468.81,468.81
228,1958,394,3,334.52,1003.56
229,2259,264,1,125.24,125.24
230,2161,405,4,266.09,1064.36
231,512,67,5,478.44,2392.2
232,215,396,2,314.05,628.1
233,81,461,1,301.35,301.35
234,1086,377,1,404.65,404.65
235,1370,102,4,19.25,77.0
236,1704,209,5,428.4,2142.0
237,2071,23,4,232.08,928.32
238,228,1,2,340.08,680.16
239,1297,231,3,333.45,1000.35
240,656,189,4,107.15,428.6
241,187,174,3,84.68,254.04
242,2856,213,5,257.85,1289.25
243,2631,133,5,204.93,1024.65
244,1602,369,2,184.98,369.96
245,689,237,1,467.89,467.89
246,720,245,3,194.12,582.36
247,2733,292,4,114.35,457.4
248,2676,96,5,490.48,2452.4
249,1602,289,1,319.32,319.32
250,2410,399,3,167.16,501.48
251,2394,283,2,482.03,964.06
252,1951,8,3,426.19,1278.57
253,1107,282,3,11.61,34.83
254,2167,283,4,482.03,1928.12
255,2658,74,1,398.49,398.49
256,2044,406,5,455.56,2277.8
257,1004,114,1,249.43,249.43
258,844,344,3,267.38,802.14
259,1307,222,1,88.55,88.55
260,1281,258,4,315.91,1263.64
261,2066,127,4,371.12,1484.48
262,1537,331,5,134.29,671.45
263,1596,491,2,312.24,624.48
264,2485,455,1,488.56,488.56
265,1695,318,3,176.88,530.64
266,1511,431,1,391.07,391.07
267,1487,301,5,416.56,2082.8
268,2572,2,1,312.36,312.36
269,137,354,2,453.55,907.1
270,2047,49,4,18.83,75.32
271,2104,176,4,317.03,1268.12
272,2066,416,2,296.39,592.78
273,821,359,2,414.54,829.08
274,1601,21,4,327.49,1309.96
275,1995,24,3,160.61,481.83
276,1792,78,3,313.31,939.93
277,614,289,1,319.32,319.32
278,2514,216,4,335.79,1343.16
279,1038,44,4,307.45,1229.8
280,370,189,1,107.15,107.15
281,1775,363,1,424.84,424.84
282,429,481,4,168.1,672.4
283,2602,21,4,327.49,1309.96
284,1987,43,4,349.43,1397.72
285,811,423,2,101.18,202.36
286,471,83,4,147.86,591.44
287,1696,497,5,353.45,1767.25
288,2147,219,4,97.84,391.36
289,1105,113,5,217.67,1088.35
290,2183,457,1,134.37,134.37
291,1284,447,1,242.95,242.95
292,1009,226,2,382.85,765.7
293,1788,132,5,200.36,1001.8
294,2691,272,1,391.15,391.15
295,644,87,3,355.84,1067.52
296,942,229,4,219.05,876.2
297,1099,314,2,452.01,904.02
298,1356,57,2,179.33,358.66
299,1708,216,4,335.79,1343.16
300,291,184,3,345.54,1036.62
301,2858,28,5,158.64,793.2
302,484,2,5,312.36,1561.8
303,1632,211,5,78.39,391.95
304,1061,45,3,184.27,552.81
305,1108,289,4,319.32,1277.28
306,921,360,2,123.44,246.88
307,1874,3,2,144.42,288.84
308,952,248,1,142.49,142.49
309,1654,487,2,446.05,892.1
310,1920,391,5,493.09,2465.45
311,1297,359,4,414.54,1658.16
312,1923,311,2,240.53,481.06
313,2647,225,1,59.7,59.7
314,383,267,3,98.26,294.78
315,670,490,2,447.97,895.94
316,1949,13,5,158.24,791.2
317,2138,83,4,147.86,591.44
318,1483,373,1,371.72,371.72
319,2862,356,5,474.59,2372.95
320,2312,81,4,173.36,693.44
321,2956,445,2,361.17,722.34
322,2958,64,2,90.68,181.36
323,2603,3,3,144.42,433.26
324,813,247,2,434.39,868.78
325,1261,500,4,489.05,1956.2
326,2737,376,2,336.6,673.2
327,99,267,4,98.26,393.04
328,1322,374,1,152.61,152.61
329,2237,258,5,315.91,1579.55
330,2860,494,3,395.19,1185.57
331,2238,400,5,471.95,2359.75
332,1923,57,5,179.33,896.65
333,291,385,5,324.13,1620.65
334,2007,108,4,339.8,1359.2
335,1886,480,3,330.88,992.64
336,1149,206,5,322.71,1613.55
337,1883,267,3,98.26,294.78
338,2102,438,4,360.39,1441.56
339,2412,237,5,467.89,2339.45
340,2713,319,1,134.82,134.82
341,135,371,3,386.41,1159.23
342,1873,40,1,360.68,360.68
343,1825,444,5,48.04,240.2
344,1050,58,4,18.23,72.92
345,2229,43,3,349.43,1048.29
346,848,252,2,110.59,221.18
347,1186,343,1,153.21,153.21
348,1705,232,4,363.18,1452.72
349,2888,140,5,17.36,86.8
350,2930,209,1,428.4,428.4
351,2268,407,2,431.78,863.56
352,307,396,4,314.05,1256.2
353,2483,136,2,280.33,560.66
354,2979,394,5,334.52,1672.6
355,404,91,5,95.07,475.35
356,1354,364,3,54.14,162.42
357,507,164,3,224.64,673.92
358,1978,367,2,152.38,304.76
359,823,297,1,80.23,80.23
360,35,300,4,380.44,1521.76
361,1977,305,4,377.27,1509.08
362,2684,330,3,95.17,285.51
363,2523,327,1,232.81,232.81
364,1434,3,5,144.42,722.1
365,1429,247,5,434.39,2171.95
366,2621,68,1,85.06,85.06
367,2763,63,1,279.85,279.85
368,2510,459,4,92.18,368.72
369,620,71,4,283.49,1133.96
370,1841,372,5,243.87,1219.35
371,1576,455,5,488.56,2442.8
372,1897,495,4,271.62,1086.48
373,1397,225,1,59.7,59.7
374,827,10,3,115.69,347.07
375,1223,427,1,404.97,404.97
376,2030,80,5,395.98,1979.9
377,109,26,1,247.86,247.86
378,2377,193,1,268.85,268.85
379,2658,366,4,171.38,685.52
380,1867,344,2,267.38,534.76
381,131,301,1,416.56,416.56
382,2018,483,5,318.89,1594.45
383,1966,79,5,75.4,377.0
384,733,450,1,483.28,483.28
385,1652,2,3,312.36,937.08
386,512,246,2,174.63,349.26
387,1421,118,4,433.66,1734.64
388,1820,358,5,45.1,225.5
389,1511,313,1,388.93,388.93
390,1968,161,5,249.26,1246.3
391,2602,388,1,163.06,163.06
392,2087,73,2,425.67,851.34
393,1114,79,3,75.4,226.2
394,1245,348,1,119.26,119.26
395,2538,339,1,10.87,10.87
396,2522,309,5,26.27,131.35
397,901,29,4,447.67,1790.68
398,1205,408,3,87.63,262.89
399,2910,88,1,425.2,425.2
400,389,58,2,18.23,36.46
401,460,221,4,398.64,1594.56
402,916,177,1,433.83,433.83
403,260,431,2,391.07,782.14
404,1237,369,1,184.98,184.98
405,1686,95,4,156.67,626.68
406,2578,430,4,100.93,403.72
407,1484,6,5,271.65,1358.25
408,1589,23,5,232.08,1160.4
409,408,34,2,452.47,904.94
410,1599,414,2,376.33,752.66
411,928,497,5,353.45,1767.25
412,559,336,4,287.21,1148.84
413,1953,211,3,78.39,235.17
414,1866,265,3,476.53,1429.59
415,2499,386,4,431.82,1727.28
416,2953,188,2,356.6,713.2
417,1337,500,5,489.05,2445.25
418,1761,326,3,335.75,1007.25
419,477,293,4,338.23,1352.92
420,1148,284,2,485.76,971.52
421,2218,423,4,101.18,404.72
422,2819,19,3,56.61,169.83
423,1321,116,1,150.95,150.95
424,605,318,5,176.88,884.4
425,1824,296,5,271.15,1355.75
426,2837,232,4,363.18,1452.72
427,1506,320,1,109.83,109.83
428,556,384,3,303.86,911.58
429,2614,154,2,345.28,690.56
430,1060,119,1,439.83,439.83
431,871,393,4,36.72,146.88
432,2353,319,4,134.82,539.28
433,2429,258,4,315.91,1263.64
434,2840,26,1,247.86,247.86
435,2813,63,1,279.85,279.85
436,2416,357,2,377.73,755.46
437,1015,22,4,109.85,439.4
438,1467,113,4,217.67,870.68
439,870,173,4,328.81,1315.24
440,1855,457,2,134.37,268.74
441,491,108,5,339.8,1699.0
442,125,160,4,88.27,353.08
443,1607,232,1,363.18,363.18
444,2944,205,1,276.61,276.61
445,632,484,3,278.22,834.66
446,1621,258,1,315.91,315.91
447,149,91,2,95.07,190.14
