order_id,customer_id,order_date,status,shipping_city,shipping_state
1,694,2022-12-19,shipped,Los Angeles,TX
2,173,2022-10-04,shipped,Dallas,IL
3,505,2022-07-24,shipped,Chicago,AZ
4,664,2022-09-08,delivered,Phoenix,AZ
5,542,2022-06-30,returned,Chicago,NY
6,900,2022-12-04,cancelled,San Jose,NY
7,618,2022-07-02,shipped,Philadelphia,TX
8,609,2022-02-09,delivered,San Jose,TX
9,146,2022-04-16,shipped,New York,IL
10,9,2022-05-12,shipped,Philadelphia,CA
11,812,2022-06-09,delivered,Los Angeles,TX
12,612,2022-09-30,delivered,Chicago,TX
13,193,2022-08-20,shipped,New York,IL
14,410,2022-12-08,delivered,Dallas,CA
15,146,2022-09-18,delivered,Dallas,AZ
16,500,2022-07-10,shipped,New York,NY
17,481,2022-05-14,processing,Dallas,TX
18,134,2022-07-14,pending,Phoenix,IL
19,69,2022-01-14,returned,Los Angeles,IL
20,72,2022-04-02,pending,San Jose,CA
21,740,2022-07-08,returned,Los Angeles,NY
22,72,2022-05-13,delivered,San Jose,AZ
23,332,2022-04-06,delivered,San Diego,AZ
24,600,2022-03-05,shipped,San Diego,TX
25,189,2022-06-23,cancelled,Chicago,TX
26,897,2022-01-30,delivered,Los Angeles,AZ
27,192,2022-07-16,shipped,San Jose,NY
28,721,2022-01-05,shipped,San Diego,TX
29,769,2022-10-12,delivered,Dallas,TX
30,193,2022-01-01,delivered,Chicago,IL
31,602,2022-03-06,delivered,Houston,TX
32,833,2022-02-16,pending,Chicago,TX
33,901,2022-09-22,pending,San Jose,TX
34,174,2022-11-04,returned,New York,NY
35,414,2022-02-08,delivered,New York,NY
36,837,2022-11-03,returned,San Antonio,IL
37,31,2022-11-05,delivered,Houston,NY
38,602,2022-06-17,delivered,New York,AZ
39,900,2022-05-30,delivered,Philadelphia,IL
40,186,2022-04-14,delivered,Phoenix,CA
41,844,2022-11-28,shipped,Dallas,CA
42,761,2022-01-06,delivered,Dallas,PA
43,739,2022-08-14,shipped,Philadelphia,PA
44,633,2022-09-20,delivered,Philadelphia,CA
45,988,2022-02-07,processing,New York,TX
46,913,2022-02-20,pending,Chicago,CA
47,338,2022-03-13,processing,Philadelphia,AZ
48,714,2022-11-12,shipped,Phoenix,AZ
49,919,2022-12-28,delivered,Philadelphia,PA
50,611,2022-11-14,delivered,Houston,TX
51,967,2022-10-01,shipped,Houston,NY
52,633,2022-10-16,shipped,San Jose,CA
53,25,2022-12-09,shipped,Los Angeles,TX
54,790,2022-08-05,delivered,Houston,NY
55,794,2022-06-26,shipped,Dallas,TX
56,903,2022-11-03,delivered,San Diego,IL
57,398,2022-02-25,shipped,Philadelphia,PA
58,36,2022-12-11,processing,Phoenix,PA
59,476,2022-05-15,delivered,Houston,TX
60,965,2022-04-09,shipped,San Jose,CA
61,789,2022-08-03,processing,New York,TX
62,868,2022-01-20,processing,San Antonio,TX
63,807,2022-03-02,shipped,San Antonio,AZ
64,881,2022-11-20,shipped,Philadelphia,TX
65,373,2022-03-31,cancelled,San Jose,TX
66,605,2022-08-20,shipped,Phoenix,TX
67,985,2022-03-10,delivered,Los Angeles,IL
68,528,2022-01-02,processing,Chicago,CA
69,629,2022-08-30,processing,Houston,TX
70,37,2022-09-28,processing,Dallas,CA
71,434,2022-12-05,delivered,Chicago,TX
72,179,2022-10-02,delivered,San Jose,TX
73,542,2022-06-30,shipped,San Diego,TX
74,124,2022-07-27,delivered,Phoenix,TX
75,657,2022-04-18,delivered,Dallas,CA
76,903,2022-03-06,delivered,San Jose,TX
77,171,2022-02-14,processing,Dallas,NY
78,251,2022-11-14,delivered,Philadelphia,TX
79,714,2022-08-08,delivered,Los Angeles,PA
80,508,2022-02-08,shipped,San Antonio,TX
81,713,2022-12-18,delivered,Los Angeles,PA
82,331,2022-04-17,processing,Chicago,CA
83,494,2022-11-23,returned,Chicago,AZ
84,826,2022-10-09,delivered,Phoenix,CA
85,570,2022-05-22,delivered,Dallas,NY
86,755,2022-05-02,shipped,Los Angeles,PA
87,474,2022-07-27,shipped,San Diego,NY
88,616,2022-06-30,delivered,San Jose,TX
89,75,2022-09-14,pending,Dallas,IL
90,279,2022-08-17,returned,San Jose,CA
91,641,2022-10-19,delivered,Chicago,TX
92,833,2022-01-03,shipped,Houston,PA
93,670,2022-11-29,shipped,Dallas,TX
94,552,2022-12-03,delivered,Los Angeles,TX
95,996,2022-05-17,shipped,New York,TX
96,204,2022-02-22,shipped,San Antonio,AZ
97,956,2022-05-20,delivered,San Diego,PA
98,882,2022-10-23,shipped,San Jose,IL
99,557,2022-04-04,shipped,San Diego,TX
100,303,2022-08-05,shipped,Dallas,AZ
101,909,2022-06-21,shipped,Chicago,PA
102,430,2022-03-30,cancelled,New York,TX
103,905,2022-10-29,delivered,New York,TX
104,699,2022-03-02,delivered,San Diego,TX
105,264,2022-01-06,cancelled,San Antonio,TX
106,549,2022-03-05,cancelled,New York,AZ
107,87,2022-06-30,delivered,San Diego,AZ
108,491,2022-10-29,pending,San Diego,TX
109,710,2022-07-15,pending,San Diego,TX
110,319,2022-11-29,delivered,San Diego,CA
111,475,2022-12-21,shipped,San Diego,CA
112,586,2022-09-10,processing,Philadelphia,CA
113,415,2022-04-17,processing,Chicago,AZ
114,224,2022-06-21,delivered,San Antonio,TX
115,478,2022-06-13,delivered,San Jose,PA
116,58,2022-07-15,processing,San Diego,TX
117,91,2022-01-23,shipped,Chicago,TX
118,79,2022-11-02,returned,Chicago,CA
119,232,2022-06-24,delivered,Los Angeles,TX
120,572,2022-05-25,delivered,Chicago,CA
121,979,2022-03-22,cancelled,Phoenix,CA
122,692,2022-11-02,delivered,Los Angeles,PA
123,824,2022-09-28,delivered,Dallas,PA
124,49,2022-03-30,processing,Los Angeles,PA
125,318,2022-07-26,cancelled,Phoenix,TX
126,378,2022-06-07,delivered,Los Angeles,IL
127,299,2022-07-11,pending,New York,CA
128,468,2022-09-06,shipped,Chicago,CA
129,289,2022-05-08,shipped,Philadelphia,CA
130,5,2022-05-02,delivered,Houston,TX
131,548,2022-05-07,delivered,Dallas,TX
132,764,2022-06-09,shipped,Philadelphia,CA
133,349,2022-03-14,returned,Philadelphia,TX
134,151,2022-07-30,shipped,New York,TX
135,542,2022-07-13,shipped,Dallas,CA
136,958,2022-10-21,delivered,San Jose,NY
137,745,2022-08-05,processing,Philadelphia,NY
138,954,2022-11-11,processing,San Jose,TX
139,406,2022-06-06,shipped,San Jose,CA
140,624,2022-08-01,delivered,San Diego,CA
141,872,2022-10-10,pending,Dallas,PA
142,991,2022-01-17,delivered,Chicago,PA
143,979,2022-07-07,pending,Chicago,CA
144,483,2022-05-15,returned,San Diego,NY
145,367,2022-01-19,processing,Chicago,TX
146,515,2022-12-05,cancelled,Chicago,NY
147,864,2022-03-15,shipped,Phoenix,CA
148,595,2022-08-20,processing,Dallas,TX
149,31,2022-05-24,delivered,Houston,PA
150,594,2022-08-11,delivered,Houston,CA
151,522,2022-03-23,processing,Philadelphia,NY
152,999,2022-05-07,delivered,San Jose,CA
153,96,2022-09-05,delivered,Philadelphia,PA
154,456,2022-04-27,delivered,Chicago,IL
155,346,2022-11-10,delivered,Philadelphia,CA
156,598,2022-12-13,processing,New York,CA
157,668,2022-04-22,delivered,Houston,TX
158,429,2022-06-28,processing,San Jose,TX
159,60,2022-05-26,pending,New York,IL
160,90,2022-08-27,shipped,Houston,CA
161,970,2022-11-07,processing,San Jose,CA
162,245,2022-04-17,delivered,San Diego,CA
163,264,2022-03-21,processing,Los Angeles,TX
164,329,2022-02-18,delivered,Los Angeles,AZ
165,6,2022-07-08,processing,Phoenix,CA
166,641,2022-12-25,cancelled,San Jose,CA
167,283,2022-04-10,cancelled,Dallas,TX
168,820,2022-10-22,delivered,San Diego,CA
169,851,2022-01-23,processing,San Jose,CA
170,732,2022-12-14,processing,San Diego,AZ
171,376,2022-02-09,processing,Dallas,NY
172,643,2022-06-20,shipped,Houston,NY
173,391,2022-07-25,pending,Chicago,TX
174,54,2022-07-31,delivered,San Diego,PA
175,41,2022-05-01,delivered,Los Angeles,CA
176,724,2022-12-18,pending,San Antonio,TX
177,735,2022-04-17,delivered,Phoenix,CA
178,534,2022-01-14,processing,Philadelphia,TX
179,66,2022-05-25,delivered,New York,CA
180,703,2022-05-23,shipped,Dallas,NY
181,17,2022-12-01,processing,San Diego,CA
