supplier_id,supplier_name,contact_email,country
1,Global Tech Distributors,contact1@globaltechdistributors.com,China
2,Urban Fashion Co,contact2@urbanfashionco.com,Mexico
3,Prime Home Goods,contact3@primehomegoods.com,Canada
4,Evergreen Books,contact4@evergreenbooks.com,India
5,Summit Sports,contact5@summitsports.com,Germany
6,City Electronics,contact6@cityelectronics.com,Germany
7,Oceanic Imports,contact7@oceanicimports.com,Germany
8,Golden Shoe Supply,contact8@goldenshoesupply.com,India
9,Metro Office Solutions,contact9@metroofficesolutions.com,Mexico
10,Healthy Living Wholesale,contact10@healthylivingwholesale.com,India
11,PetCare Partners,contact11@petcarepartners.com,India
12,AutoParts Hub,contact12@autopartshub.com,Germany
13,Smart Gadget Supply,contact13@smartgadgetsupply.com,USA
14,Northstar Clothing,contact14@northstarclothing.com,USA
15,Sunrise Toys,contact15@sunrisetoys.com,India
16,FreshGrocer Distribution,contact16@freshgrocerdistribution.com,Mexico
17,BeautyLine Wholesale,contact17@beautylinewholesale.com,India
18,GardenPro Supplies,contact18@gardenprosupplies.com,India
19,Diamond Jewel Traders,contact19@diamondjeweltraders.com,Canada
20,Wellness Direct,contact20@wellnessdirect.com,Germany
21,West Coast Electronics,contact21@westcoastelectronics.com,Mexico
22,Lone Star Apparel,contact22@lonestarapparel.com,Germany
23,Liberty Home Essentials,contact23@libertyhomeessentials.com,Canada
24,Pacific Sports,contact24@pacificsports.com,India
25,Bright Kids Toys,contact25@brightkidstoys.com,Mexico
26,GreenLeaf Organics,contact26@greenleaforganics.com,China
27,AutoMax Supplies,contact27@automaxsupplies.com,USA
28,OfficeBox Distributors,contact28@officeboxdistributors.com,USA
29,PetWorld Wholesale,contact29@petworldwholesale.com,China
30,Golden State Gadgets,contact30@goldenstategadgets.com,India
31,Midwest Fashion Group,contact31@midwestfashiongroup.com,USA
32,BookWorld Distributors,contact32@bookworlddistributors.com,India
33,TechCore Supply,contact33@techcoresupply.com,Mexico
34,Lifestyle Brands Co,contact34@lifestylebrandsco.com,India
35,Urban Office Depot,contact35@urbanofficedepot.com,India
36,Prime Auto Accessories,contact36@primeautoaccessories.com,Mexico
37,Sunset Jewelry Group,contact37@sunsetjewelrygroup.com,Germany
38,ActiveLife Sports,contact38@activelifesports.com,Germany
39,HomeComfort Imports,contact39@homecomfortimports.com,USA
40,Metro Gadget Hub,contact40@metrogadgethub.com,USA
