S.no,Report_Month,Customer_Segment,Product_Type,Total_Revenue,Expected_Provision_Rate,Calculated_Provision_Amount,Net_Revenue,report_date_clean,,,
1,2024-04,Retail,AddOn_D,3835.34,0.04,145.74,3689.6,01/04/2024,,,
2,2024-08,Enterprise,Service_A,24707.53,0.01,148.25,24559.28,01/08/2024,,,
3,2024-05,Retail,Product_B,4992.91,0.05,229.67,4763.24,01/05/2024,,,
4,2024-05,SMB,Subscription_C,10466.52,0.02,219.8,10246.72,01/05/2024,,,
5,2024-04,Retail,Subscription_C,3990.98,0.04,151.66,3839.32,01/04/2024,,,
6,2024-10,Enterprise,AddOn_D,17542.79,0.02,263.14,17279.65,01/10/2024,,,
7,2024-08,Enterprise,Product_B,25519.43,0.01,331.75,25187.68,01/08/2024,,,
8,2024-04,SMB,Service_A,14487.44,0.03,391.16,14096.28,01/04/2024,,,
9,2024-06,SMB,Service_A,12542.23,0.03,388.81,12153.42,01/06/2024,,,
10,2024-09,SMB,Subscription_C,12018.9,0.03,300.47,11718.43,01/09/2024,,,
11,2024-01,Retail,Subscription_C,4012.94,0.04,152.49,3860.45,01/01/2024,,,
12,2024-05,SMB,AddOn_D,8279.19,0.02,198.7,8080.49,01/05/2024,,,
13,2024-08,SMB,Service_A,8558.22,0.02,196.84,8361.38,01/08/2024,,,
14,2024-01,Retail,AddOn_D,1304.5,0.05,62.62,1241.88,01/01/2024,,,
15,2024-10,SMB,Product_B,5693.18,0.02,113.86,5579.32,01/10/2024,,,
16,2024-04,Retail,AddOn_D,1447.5,0.04,52.11,1395.39,01/04/2024,,,
17,2024-06,Retail,Service_A,2890.48,0.04,127.18,2763.3,01/06/2024,,,
18,2024-04,Retail,AddOn_D,4802.65,0.05,249.74,4552.91,01/04/2024,,,
19,2024-03,Enterprise,Service_A,15189.38,0.01,91.14,15098.24,01/03/2024,,,
20,2024-01,Enterprise,Service_A,23999.41,0.01,239.99,23759.42,01/01/2024,,,
21,2024-01,Retail,Service_A,2818.81,0.05,140.94,2677.87,01/01/2024,,,
22,2024-07,Retail,AddOn_D,2754.73,0.06,151.51,2603.22,01/07/2024,,,
23,2024-05,SMB,Subscription_C,12056.99,0.03,301.42,11755.57,01/05/2024,,,
24,2024-04,Enterprise,Product_B,21075.57,0.01,147.53,20928.04,01/04/2024,,,
25,2024-06,Retail,Product_B,4967.2,0.05,243.39,4723.81,01/06/2024,,,
26,2024-05,Retail,Product_B,3788.62,0.04,159.12,3629.5,01/05/2024,,,
27,2024-06,Retail,Product_B,2510.52,0.05,120.5,2390.02,01/06/2024,,,
28,2024-03,SMB,AddOn_D,11047.65,0.02,209.91,10837.74,01/03/2024,,,
29,2024-01,Enterprise,AddOn_D,21860.94,0.02,327.91,21533.03,01/01/2024,,,
30,2024-09,Enterprise,Subscription_C,17395.95,0.01,86.98,17308.97,01/09/2024,,,
31,2024-06,Enterprise,Service_A,20229.43,0.02,303.44,19925.99,01/06/2024,,,
32,2024-03,SMB,Service_A,6684.03,0.03,227.26,6456.77,01/03/2024,,,
33,2024-04,Retail,Subscription_C,4699.07,0.05,216.16,4482.91,01/04/2024,,,
34,2024-11,Retail,AddOn_D,3591.55,0.04,129.3,3462.25,01/11/2024,,,
35,2024-04,SMB,Subscription_C,13394.75,0.02,321.47,13073.28,01/04/2024,,,
36,2024-03,Retail,AddOn_D,3140.33,0.05,163.3,2977.03,01/03/2024,,,
37,2024-11,SMB,Service_A,14836.67,0.02,222.55,14614.12,01/11/2024,,,
38,2024-01,Retail,Service_A,1321.61,0.05,63.44,1258.17,01/01/2024,,,
39,2024-05,Retail,Subscription_C,3748,0.04,153.67,3594.33,01/05/2024,,,
40,2024-06,Retail,Product_B,2568.15,0.04,92.45,2475.7,01/06/2024,,,
41,2024-10,SMB,Product_B,7113.98,0.02,170.74,6943.24,01/10/2024,,,
42,2024-08,Enterprise,Product_B,27787.65,0.01,194.51,27593.14,01/08/2024,,,
43,2024-11,Retail,Subscription_C,2780.16,0.05,150.13,2630.03,01/11/2024,,,
44,2024-05,SMB,Service_A,6409.45,0.04,224.33,6185.12,01/05/2024,,,
45,2024-09,SMB,Subscription_C,8868.88,0.03,292.67,8576.21,01/09/2024,,,
46,2024-05,Retail,AddOn_D,3232.65,0.04,126.07,3106.58,01/05/2024,,,
