Origin_airport,Destination_airport,Origin_city,Origin_State,Destination_city,Destination_State,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
CLT,ORD,Charlotte,NC,Chicago,IL,7210,9810,90,599,01/07/1996,1164160,17287860,35.2140007,-80.94309998,41.97859955,-87.90480042
ATL,DTW,Atlanta,GA,Detroit,MI,3987,8927,79,594,01/01/1996,3652439,8912962,33.63669968,-84.42810059,42.21239853,-83.35340118
ANC,ORD,Anchorage,AK,Chicago,IL,0,0,13,2846,01/03/2009,374553,19161134,61.17440033,-149.9960022,41.97859955,-87.90480042
SBN,ORD,South Bend,IN,Chicago,IL,1:14 AM,13504,211,84,01/05/1997,307978,17405264,41.70869827,-86.31729889,41.97859955,-87.90480042
CAE,ATL,Columbia,SC,Atlanta,GA,7075,8804,62,191,01/10/2005,691990,4947012,33.93880081,-81.11949921,33.63669968,-84.42810059
SAN,DFW,San Diego,CA,Dallas,TX,4782,5508,27,1171,01/07/1991,2554271,8182938,32.73360062,-117.1900024,32.89680099,-97.03800201
LRD,DFW,Laredo,TX,Dallas,TX,57,68,2,394,01/09/2004,215775,11379964,27.54380035,-99.46160126,32.89680099,-97.03800201
DBQ,ORD,Dubuque,IA,Chicago,IL,1270,2051,57,147,01/07/1993,87891,16876600,42.40200043,-90.70950317,41.97859955,-87.90480042
SHV,DFW,Shreveport,LA,Dallas,TX,3596,5450,109,190,01/08/2006,387166,11998822,32.44660187,-93.82559967,32.89680099,-97.03800201
SEA,RNO,Seattle,WA,Reno,NV,2011,4144,28,564,01/01/1994,5485752,285459,47.44900131,-122.3089981,39.49909973,-119.7679977
JFK,ATL,New York,NY,Atlanta,GA,0,0,5,760,01/09/2005,37596228,4947012,40.63980103,-73.77890015,33.63669968,-84.42810059
STC,BJI,St. Cloud,MN,Bemidji,MN,21,68,2,142,01/12/1998,162850,38664,45.54660034,-94.05989838,47.50939941,-94.93370056
BDL,ORD,Hartford,CT,Chicago,IL,50,50,1,783,01/01/2007,1186341,18903872,41.93889999,-72.68319702,41.97859955,-87.90480042
MIA,ATL,Miami,FL,Atlanta,GA,3413,4384,32,595,01/04/2007,10930366,5267527,25.79319954,-80.29060364,33.63669968,-84.42810059
MSP,RNO,Minneapolis,MN,Reno,NV,5818,8642,58,1406,01/05/1997,2795024,309197,44.88199997,-93.22180176,39.49909973,-119.7679977
MSY,ORD,New Orleans,LA,Chicago,IL,2828,4251,39,837,01/02/1991,1269339,16550288,29.99340057,-90.25800323,41.97859955,-87.90480042
PHX,ELP,Phoenix,AZ,El Paso,TX,6699,8768,64,347,01/08/2006,4046571,720756,33.43429947,-112.012001,31.80719948,-106.3779984
MIA,DFW,Miami,FL,Dallas,TX,0,0,1,1121,01/05/2008,11003504,12602170,25.79319954,-80.29060364,32.89680099,-97.03800201
BWI,EWR,Baltimore,MD,Newark,NJ,1845,5152,112,169,01/01/1996,2468142,17190036,39.17539978,-76.66829681,40.69250107,-74.16870117
PIT,ATL,Pittsburgh,PA,Atlanta,GA,0,300,2,526,01/10/2007,2357141,5267527,40.49150085,-80.23290253,33.63669968,-84.42810059
GRR,ORD,Grand Rapids,MI,Chicago,IL,451,728,7,137,01/04/2001,750083,18385002,42.88079834,-85.52279663,41.97859955,-87.90480042
PWM,ORD,Portland,ME,Chicago,IL,3914,4704,32,900,01/10/1993,445886,16876600,43.64619827,-70.30930328,41.97859955,-87.90480042
DTW,CWA,Detroit,MI,Wausau,WI,826,1054,31,363,01/07/2009,8806874,131612,42.21239853,-83.35340118,44.77759933,-89.66680145
MSP,ORD,Minneapolis,MN,Chicago,IL,2185,10798,30,334,01/05/1994,2690359,17018756,44.88199997,-93.22180176,41.97859955,-87.90480042
MCO,EWR,Orlando,FL,Newark,NJ,258,283,1,938,01/01/2003,1803474,18671320,28.42939949,-81.30899811,40.69250107,-74.16870117
JFK,ATL,New York,NY,Atlanta,GA,3770,6429,29,760,01/01/1996,34380072,3652439,40.63980103,-73.77890015,33.63669968,-84.42810059
