Employee_ID,Age,Gender,Department,Job_Role,Education_Level,Years_at_Company,Monthly_Income,Performance_Rating,Recruitment_Source,Training_Hours_Last_Year,Job_Satisfaction,Work_Life_Balance,Overtime,Attrition
1,59,Female,Marketing,Associate,Bachelor's,0.8,90636,2,Consultant,32,3,4,No,No
2,49,Female,Marketing,Analyst,PhD,8.7,42954,3,Consultant,83,4,3,No,Yes
3,35,Female,Customer Support,Senior Associate,High School,1.5,54690,4,Job Portal,83,3,3,No,No
4,28,Male,Marketing,Associate,PhD,1.4,131897,3,Consultant,96,5,4,No,Yes
5,41,Male,Operations,Manager,PhD,30.6,22420,3,LinkedIn,39,2,5,No,No
6,59,Male,Sales,Executive,Bachelor's,2.7,169675,3,LinkedIn,48,4,5,No,No
7,39,Male,IT,Executive,High School,3.5,35565,5,Consultant,27,3,5,Yes,No
8,43,Female,Customer Support,Manager,High School,6.1,36523,4,Consultant,86,5,3,No,No
9,31,Male,Customer Support,Associate,PhD,1.1,95895,3,Consultant,48,4,5,No,Yes
10,31,Male,Finance,Associate,High School,2.7,72683,4,LinkedIn,26,5,4,No,No
11,44,Female,IT,Senior Associate,Master's,0,45131,4,Job Portal,74,1,4,No,No
12,56,Male,Marketing,Lead,Bachelor's,1.7,103241,2,Referral,44,3,4,Yes,No
13,44,Male,Customer Support,Lead,Master's,3.1,131265,5,Job Portal,59,4,5,Yes,No
14,23,Female,Sales,Analyst,PhD,2.3,160416,4,Campus,104,1,3,No,Yes
15,42,Female,Sales,Senior Associate,PhD,1.3,141130,2,Campus,96,2,4,Yes,No
16,22,Male,IT,Lead,Master's,0.9,189291,2,Campus,23,3,5,No,No
17,44,Male,HR,Executive,Bachelor's,3.1,189839,3,LinkedIn,102,4,3,No,No
18,50,Male,Customer Support,Manager,PhD,2.8,109912,3,Consultant,94,1,4,No,No
19,58,Female,Operations,Senior Associate,Master's,8.9,101309,2,Campus,109,5,1,Yes,No
20,22,Female,Finance,Executive,Master's,3.5,194503,1,Campus,0,3,4,No,No
21,41,Male,Customer Support,Manager,Master's,3.2,55397,4,LinkedIn,70,1,2,No,No
22,53,Male,Sales,Senior Associate,Bachelor's,2.3,42238,2,LinkedIn,50,3,2,No,No
23,32,Female,Operations,Analyst,Bachelor's,0.1,170211,2,Referral,71,5,5,Yes,No
24,42,Female,Marketing,Associate,PhD,2.6,153021,4,LinkedIn,17,3,4,No,No
25,45,Female,Customer Support,Lead,Master's,1.2,110651,3,LinkedIn,35,1,4,No,Yes
26,47,Male,HR,Associate,High School,5.7,117357,3,Campus,24,1,2,Yes,No
27,48,Female,Customer Support,Analyst,High School,2.9,105021,4,Campus,100,3,5,No,No
28,36,Female,Customer Support,Manager,Master's,9.1,150103,3,Consultant,50,2,5,Yes,Yes
29,35,Female,Finance,Executive,Master's,7.5,145446,3,LinkedIn,45,4,4,No,No
30,23,Female,Marketing,Lead,Master's,8.8,81398,2,Referral,19,4,4,No,Yes
31,57,Male,IT,Executive,PhD,1.4,43128,2,LinkedIn,79,3,5,No,No
32,27,Male,Operations,Senior Associate,Master's,3.1,85407,3,Referral,30,1,5,No,Yes
33,41,Male,Sales,Senior Associate,High School,12,146844,2,Referral,1,4,5,No,No
34,29,Male,IT,Manager,Bachelor's,1.2,57729,3,Referral,102,4,5,No,No
35,59,Female,HR,Lead,High School,2.3,142718,3,Campus,55,5,2,Yes,No
36,38,Male,Sales,Executive,Master's,4.2,140369,3,Job Portal,43,2,2,Yes,Yes
37,24,Male,Marketing,Associate,High School,4.4,145070,3,LinkedIn,13,5,2,No,No
38,45,Female,HR,Lead,Bachelor's,2.8,126944,3,Referral,9,5,4,No,No
39,34,Male,Finance,Analyst,Bachelor's,3.1,91255,2,LinkedIn,50,3,3,No,No
40,29,Male,Operations,Analyst,Bachelor's,2.5,162445,3,Job Portal,28,2,4,Yes,No
41,46,Male,Marketing,Executive,Bachelor's,2.4,134068,4,Consultant,25,3,3,No,No
42,22,Female,Customer Support,Executive,High School,10.2,98332,2,Referral,100,3,3,Yes,No
43,40,Male,Finance,Lead,High School,1.1,156189,4,Consultant,13,1,4,No,No
44,48,Female,Sales,Analyst,PhD,3.7,192241,3,Consultant,116,4,2,No,No
45,27,Male,Finance,Lead,High School,4.4,114143,4,Consultant,40,4,1,No,No
46,28,Female,Operations,Senior Associate,PhD,1.7,57726,3,Referral,52,4,2,No,No
47,55,Male,Sales,Senior Associate,Master's,0.2,41474,4,Referral,48,5,5,No,No
48,34,Female,Finance,Associate,Bachelor's,1.3,138959,5,Consultant,85,3,5,No,No
49,37,Male,IT,Executive,High School,4.3,197245,3,Campus,17,5,2,Yes,Yes
50,56,Male,Operations,Associate,High School,1.4,153520,3,Consultant,2,5,1,No,No
51,24,Female,IT,Associate,PhD,11.3,53980,3,Consultant,13,3,1,No,Yes
52,22,Male,HR,Senior Associate,PhD,1.2,44192,5,Job Portal,78,3,2,No,Yes
53,26,Male,Operations,Manager,Bachelor's,2.9,22140,3,LinkedIn,26,3,3,Yes,No
54,24,Female,Operations,Executive,Bachelor's,0.2,40530,3,Job Portal,83,4,4,No,No
55,49,Male,Finance,Executive,PhD,10.3,135239,4,Campus,63,2,4,No,No
56,38,Female,Sales,Executive,PhD,4.8,124331,3,Job Portal,43,3,5,Yes,Yes
57,46,Male,Marketing,Associate,Master's,3.5,170705,4,LinkedIn,47,5,5,Yes,No
58,54,Female,Sales,Manager,High School,1.5,108496,4,Referral,2,4,4,No,No
59,30,Other,IT,Manager,Master's,1,146019,4,Referral,106,3,3,Yes,No
60,56,Male,Operations,Analyst,Bachelor's,4.5,167512,3,LinkedIn,88,1,4,Yes,No
61,34,Female,Marketing,Manager,Bachelor's,7.2,61318,2,Campus,10,3,4,No,No
62,51,Male,Finance,Senior Associate,Master's,2.9,28057,3,Campus,40,3,4,Yes,No
