,Date,store_id,product_id,actual_units_sold,predicted_units_sold
1,05/01/2020,40,1038,162,148.7466667
2,06/01/2020,27,1088,106,135.17
3,07/01/2020,7,1006,151,115.3033333
4,08/01/2020,46,1093,16,82.08333333
5,09/01/2020,36,1006,178,141.7066667
6,10/01/2020,33,1038,24,95.74666667
7,11/01/2020,27,1048,64,126.85
8,12/01/2020,8,1015,187,128.3833333
9,13/01/2020,5,1072,37,108.6266667
10,14/01/2020,8,1029,76,96.64
11,15/01/2020,40,1002,98,119.4866667
12,16/01/2020,21,1075,185,84.23333333
13,17/01/2020,24,1073,98,114.6433333
14,18/01/2020,7,1016,11,104.72
15,19/01/2020,19,1058,125,122.3366667
16,20/01/2020,31,1088,28,101.1233333
17,21/01/2020,36,1034,95,77.15
18,22/01/2020,27,1043,150,71.96
19,23/01/2020,29,1024,136,100.2566667
20,24/01/2020,23,1025,186,91.69666667
21,25/01/2020,20,1041,3,79.39333333
22,26/01/2020,6,1033,147,143.9833333
23,27/01/2020,12,1043,86,93.35666667
24,28/01/2020,50,1017,195,118.5133333
25,29/01/2020,12,1007,22,87.36666667
26,30/01/2020,50,1059,13,118.4733333
27,31/01/2020,3,1027,113,127.3066667
28,01/02/2020,42,1036,161,84.06666667
29,02/02/2020,39,1019,143,76.83333333
30,03/02/2020,35,1015,197,149.9633333
31,04/02/2020,19,1070,116,116.5666667
32,05/02/2020,45,1057,11,99.885
33,06/02/2020,4,1100,34,134.17
34,07/02/2020,31,1069,94,117.6466667
35,08/02/2020,42,1053,189,116.12
36,09/02/2020,38,1069,67,84.17333333
37,10/02/2020,33,1002,48,78.49333333
38,11/02/2020,6,1018,1,53.99
39,12/02/2020,8,1032,93,90.50740741
40,13/02/2020,28,1029,150,58.79666667
41,14/02/2020,15,1049,122,82.17333333
42,15/02/2020,31,1084,94,98.91333333
43,16/02/2020,8,1083,53,107.8066667
44,17/02/2020,6,1080,170,126.7433333
45,18/02/2020,29,1075,32,106.5366667
46,19/02/2020,46,1060,118,124.9266667
47,20/02/2020,34,1028,162,95.64
48,21/02/2020,7,1086,139,105.1466667
49,22/02/2020,40,1027,136,86.25333333
50,23/02/2020,10,1081,142,108.3233333
51,24/02/2020,13,1008,38,122.1983333
52,25/02/2020,22,1072,110,128.9866667
53,26/02/2020,21,1023,190,98.27666667
54,27/02/2020,1,1032,113,113.21
55,28/02/2020,41,1015,157,122.76
56,29/02/2020,42,1091,20,124.1666667
57,01/03/2020,2,1068,45,108.95
58,02/03/2020,29,1040,125,120.3666667
59,03/03/2020,11,1096,106,103.1733333
60,04/03/2020,37,1057,64,68.84333333
61,05/03/2020,50,1047,143,64.48666667
62,06/03/2020,7,1010,75,81.26333333
63,07/03/2020,35,1056,120,119.4366667
64,08/03/2020,30,1092,31,92.54666667
65,09/03/2020,16,1052,93,79.26333333
66,10/03/2020,15,1096,25,87.68
67,11/03/2020,40,1096,2,73.28
68,12/03/2020,20,1063,41,42.93333333
69,13/03/2020,28,1051,72,75.58333333
70,14/03/2020,37,1079,130,56.89
71,15/03/2020,3,1070,102,47.21333333
72,16/03/2020,29,1009,181,72.61
73,17/03/2020,37,1094,194,111.5566667
74,18/03/2020,9,1041,33,85.54333333
75,19/03/2020,27,1040,118,157.0066667
76,20/03/2020,32,1016,25,115.6733333
77,21/03/2020,48,1025,129,128.4666667
78,22/03/2020,46,1010,90,98.82666667
79,23/03/2020,50,1030,110,117.87
80,24/03/2020,39,1009,149,97.81333333
81,25/03/2020,31,1040,100,83.59
82,26/03/2020,47,1057,52,55.05333333
83,27/03/2020,26,1046,60,114.84
84,28/03/2020,40,1007,48,94.33
85,29/03/2020,3,1043,67,89.95333333
86,30/03/2020,11,1048,120,85.2
87,31/03/2020,29,1076,5,45.24333333
88,01/04/2020,27,1057,93,79.6
89,02/04/2020,50,1017,27,67.56
90,03/04/2020,47,1025,28,44.82666667
91,04/04/2020,10,1007,142,72.59666667
92,05/04/2020,35,1055,108,58.22
93,06/04/2020,47,1019,6,45.68
94,07/04/2020,23,1081,14,81.45
95,08/04/2020,6,1032,19,52.37333333
96,09/04/2020,11,1087,129,67.39666667
97,10/04/2020,43,1032,62,57.90333333
98,11/04/2020,27,1026,29,46.66666667
99,12/04/2020,31,1072,168,68.86
100,13/04/2020,30,1022,7,62.28
101,14/04/2020,3,1055,84,67.77333333
102,15/04/2020,13,1057,172,106.4433333
103,16/04/2020,40,1008,74,58.21666667
104,17/04/2020,21,1046,102,96.30333333
105,18/04/2020,43,1005,70,88.4
106,19/04/2020,11,1012,141,70.45
107,20/04/2020,45,1027,77,94.96333333
108,21/04/2020,3,1084,95,99.45333333
109,22/04/2020,38,1011,145,81.01777778
110,23/04/2020,31,1036,112,124.7766667
111,24/04/2020,24,1052,22,83.54333333
112,25/04/2020,42,1002,82,101.02
113,26/04/2020,12,1074,133,101.7233333
114,27/04/2020,46,1071,9,71.26666667
115,28/04/2020,43,1012,70,96.78333333
116,29/04/2020,27,1055,121,73.95022222
117,30/04/2020,21,1080,181,103.4133333
118,01/05/2020,25,1031,69,83.38666667
119,02/05/2020,30,1091,159,116.02
120,03/05/2020,30,1032,107,74.64666667
121,04/05/2020,10,1064,174,127.3433333
122,05/05/2020,3,1091,131,152.91
123,06/05/2020,13,1059,18,135.8566667
124,07/05/2020,27,1025,183,139.9366667
125,08/05/2020,18,1069,111,117.2566667
126,09/05/2020,45,1068,19,119.21
127,10/05/2020,24,1044,190,139.34
128,11/05/2020,46,1043,14,103.8816667
129,12/05/2020,14,1015,83,93.67
130,13/05/2020,39,1013,146,93.17333333
131,14/05/2020,44,1097,189,57.71666667
132,15/05/2020,4,1069,68,70.93333333
133,16/05/2020,16,1070,40,130.1366667
134,17/05/2020,10,1045,116,97.66333333
135,18/05/2020,48,1025,100,111.0266667
136,19/05/2020,37,1025,189,155.28
137,20/05/2020,27,1010,44,122.5266667
138,21/05/2020,48,1062,166,94.09333333
139,22/05/2020,1,1012,41,62.8
140,23/05/2020,5,1067,131,121.74
141,24/05/2020,13,1029,14,103.16
142,25/05/2020,45,1093,20,129.3733333
143,26/05/2020,3,1043,79,117.55
144,27/05/2020,17,1088,28,66.96
145,28/05/2020,19,1088,76,77.31
146,29/05/2020,37,1089,183,78.18
147,30/05/2020,5,1037,36,42.69333333
148,31/05/2020,47,1069,125,70.66833333
149,01/06/2020,42,1011,67,59.34
150,02/06/2020,44,1040,164,102.3933333
151,03/06/2020,24,1063,69,85.77666667
152,04/06/2020,43,1022,39,92.59333333
153,05/06/2020,33,1015,142,121.1133333
154,06/06/2020,21,1009,124,82.23
155,07/06/2020,3,1070,126,70.28
156,08/06/2020,4,1064,145,109.3333333
157,09/06/2020,32,1090,8,92.93333333
158,10/06/2020,24,1006,102,124.89
159,11/06/2020,35,1096,13,88.10666667
160,12/06/2020,18,1043,56,136.3233333
161,13/06/2020,3,1020,41,53.90666667
162,14/06/2020,39,1099,180,85.59333333
163,15/06/2020,26,1043,179,50.00666667
164,16/06/2020,24,1062,77,94.99333333
165,17/06/2020,1,1067,17,79.50333333
166,18/06/2020,50,1082,153,116.58
167,19/06/2020,34,1099,75,92.29666667
168,20/06/2020,12,1052,61,119.4033333
169,21/06/2020,17,1074,34,98.92
170,22/06/2020,21,1100,173,60.40666667
171,23/06/2020,21,1094,106,77.01666667
172,24/06/2020,3,1026,29,78.33666667
173,25/06/2020,44,1094,12,103.36
174,26/06/2020,28,1031,40,88.85333333
175,27/06/2020,25,1055,41,68.47
176,28/06/2020,44,1068,194,92.18333333
177,29/06/2020,6,1057,123,78.70666667
178,30/06/2020,42,1024,199,60.31333333
179,01/07/2020,30,1065,183,48.83666667
180,02/07/2020,32,1026,51,103.5533333
181,03/07/2020,22,1049,76,132.98
182,04/07/2020,38,1093,159,169.37
183,05/07/2020,14,1038,142,119.95
184,06/07/2020,34,1036,58,113.52
185,07/07/2020,43,1054,137,132.62
186,08/07/2020,47,1009,81,132.01
187,09/07/2020,26,1042,108,130.1466667
188,10/07/2020,40,1096,174,107.0333333
189,11/07/2020,13,1082,31,104.6366667
