Year,Min_Open,Max_Open,Min_Close,Max_Close,Min_High,Max_High,Min_Low,Max_Low,Min_Volume,Max_Volume
"FY 1980-1981",0.097655997,0.160714,0.096539997,0.160714,0.097655997,0.161272004,0.096539997,0.160714,5376000,469033600
"FY 1981-1982",0.063616,0.147879004,0.063057996,0.147879004,0.063616,0.148438007,0.063057996,0.147879004,0,170464000
"FY 1982-1983",0.049665,0.214844003,0.049107,0.214844003,0.049665,0.217076004,0.049107,0.210938007,1388800,707840000
"FY 1983-1984",0.079798996,0.280133992,0.079798996,0.280133992,0.085937999,0.282366008,0.077009,0.273995996,37296000,1221516800
"FY 1984-1985",0.097098,0.148438007,0.095982,0.148438007,0.097655997,0.153459996,0.092634,0.145089,27686400,733980800
"FY 1985-1986",0.065289997,0.126115993,0.064732,0.126115993,0.065848,0.132254004,0.064732,0.126115993,21504000,904131200
"FY 1986-1987",0.119419999,0.313616008,0.119419999,0.3125,0.120536,0.318637997,0.117187999,0.304688007,50176000,848960000
"FY 1987-1988",0.263393015,0.53125,0.25,0.529017985,0.279018015,0.533482015,0.246652007,0.515625,56638400,777280000
"FY 1988-1989",0.303570986,0.420758992,0.301339,0.421875,0.308036,0.424106985,0.299106985,0.412945986,29937600,2127171200
"FY 1989-1990",0.290179014,0.444195986,0.289063007,0.443080008,0.299106985,0.449777007,0.286830008,0.433036,27854400,1025416000
"FY 1990-1991",0.225446001,0.625,0.223214,0.625,0.236607,0.627232015,0.216518,0.611607015,44273600,943241600
"FY 1991-1992",0.366070986,0.647320986,0.367188007,0.649554014,0.375,0.654017985,0.359375,0.625,17987200,1868372800
"FY 1992-1993",0.375,0.571429014,0.386161,0.580357015,0.390625,0.582588971,0.370536,0.569195986,2396800,902630400
"FY 1993-1994",0.202009007,0.524554014,0.202009007,0.524554014,0.205357,0.527902007,0.196428999,0.511161029,39592000,2120596800
"FY 1994-1995",0.224329993,0.419643015,0.224329993,0.417411,0.233259007,0.429129004,0.219865993,0.401786,62272000,1076622400
"FY 1995-1996",0.207589,0.4375,0.213170007,0.440847993,0.21875,0.447544992,0.205357,0.434152007,39390400,1211963200
"FY 1996-1997",0.136161,0.253347993,0.136161,0.254464,0.139509007,0.257813007,0.135045007,0.248884007,42291200,1882832000
"FY 1997-1998",0.114955001,0.248326004,0.115512997,0.25,0.118303999,0.253347993,0.113839,0.243303999,41316800,1814164800
"FY 1998-1999",0.223772004,0.415737003,0.223214,0.415179014,0.226563007,0.422432989,0.220423996,0.400669992,111115200,1837953600
"FY 1999-2000",0.302455008,1.271762967,0.302455008,1.287387967,0.306919992,1.342633963,0.299106985,1.25,123681600,2106048000
"FY 2000-2001",0.246094003,1.209820986,0.25,1.190289974,0.261161,1.24553597,0.243303999,1.155691981,70828800,2038120000
"FY 2001-2002",0.264286011,0.476785988,0.267500013,0.474821001,0.274286002,0.48428601,0.262142986,0.460000008,50629600,1873670400
"FY 2002-2003",0.241786003,0.463036001,0.242679,0.466250002,0.247320995,0.467321008,0.238571003,0.45321399,39340000,1709467200
"FY 2003-2004",0.231964007,0.498571008,0.234285995,0.498571008,0.235535994,0.502499998,0.227143005,0.488213986,76098400,1555708000
"FY 2004-2005",0.463750005,1.618749976,0.46035701,1.609464049,0.470178992,1.622856975,0.455179006,1.577142954,145717600,1919702400
"FY 2005-2006",1.22142899,3.060714006,1.218929052,3.05678606,1.258213997,3.085714102,1.182500005,3.021429062,176383200,2096060400
"FY 2006-2007",1.847499967,3.48428607,1.80964303,3.467856884,1.888929009,3.485713959,1.791429043,3.40892911,194770800,1972146400
"FY 2007-2008",3.220000029,7.163928986,3.222856998,7.136785984,3.244642973,7.248570919,3.200000048,7.064286232,352466800,2083331600
"FY 2008-2009",2.835356951,6.829642773,2.792856932,6.784286022,2.928570986,6.865714073,2.792856932,6.709286213,271334000,2107417200
"FY 2009-2010",3.717499971,8.449999809,3.881786108,8.423213959,3.892857075,8.4814291,3.710356951,8.373571396,286454000,1867110000
"FY 2010-2011",8.31499958,12.90714264,8.423570633,12.96892929,8.518214226,13.03214264,7.116071224,12.875,157494400,1880998000
"FY 2011-2012",11.31000042,22.08499908,11.26142883,22.05785751,11.34642887,22.19464302,11.08928585,21.79678535,179662000,1506120000
"FY 2012-2013",15.0528574,25.08607101,15.00178623,25.07500076,15.29285717,25.18107033,14.96428585,24.98464394,175753200,1460852400
"FY 2013-2014",13.85607147,20.45178604,13.94750023,20.36035728,14.27142906,20.54071426,13.75357056,20.22892952,167554800,1065523200
"FY 2014-2015",18.50178528,33.23500061,18.4985714,33.25,18.61035728,33.40000153,18.26178551,32.79249954,57918400,759911600
"FY 2015-2016",23.28249931,33.61500168,23.35499954,33.16249847,23.625,33.63499832,23,32.84999847,52185600,648825200
"FY 2016-2017",22.5,36.04750061,22.58499908,36.02999878,22.91749954,36.125,22.36750031,35.875,45903600,458408400
"FY 2017-2018",35.30500031,45.64749908,35.16999817,45.43000031,35.47000122,45.875,35.01499939,45.05250168,56106800,346375200
"FY 2018-2019",35.99499893,57.69499969,35.54750061,58.01750183,36.43000031,58.36750031,35.5,57.44499969,50055600,384986800
"FY 2019-2020",43.86000061,81.18499756,43.32500076,81.80000305,44.47999954,81.96250153,42.56750107,80.83750153,45448000,426510000
"FY 2020-2021",60.08499908,143.6000061,60.22750092,143.1600037,61.28749847,145.0899963,59.22499847,141.3699951,46691300,374336800
"FY 2021-2022",123.1600037,182.6300049,122.7699966,182.0099945,124.1800003,182.9400024,122.25,179.1199951,41000000,195432700
"FY 2022-2023",126.0100021,177.5,125.0199966,178.4400024,127.7699966,178.4900055,124.1699982,174.4400024,35195900,182602000
"FY 2023-2024",161.2200012,198.0200043,160.1000061,198.1100006,162.0299988,199.6199951,159.7799988,197,24048300,136682600
"FY 2024-2025",165.3500061,258.1900024,165,259.019989,166.3999939,260.1000061,164.0800018,257.6300049,15135053,318679900
