Year,Min_Open,Max_Open,Min_Close,Max_Close
"FY 1980-1981",0.097655997,0.160714,0.096539997,0.160714
"FY 1981-1982",0.063616,0.147879004,0.063057996,0.147879004
"FY 1982-1983",0.049665,0.214844003,0.049107,0.214844003
"FY 1983-1984",0.079798996,0.280133992,0.079798996,0.280133992
"FY 1984-1985",0.097098,0.148438007,0.095982,0.148438007
"FY 1985-1986",0.065289997,0.126115993,0.064732,0.126115993
"FY 1986-1987",0.119419999,0.313616008,0.119419999,0.3125
"FY 1987-1988",0.263393015,0.53125,0.25,0.529017985
"FY 1988-1989",0.303570986,0.420758992,0.301339,0.421875
"FY 1989-1990",0.290179014,0.444195986,0.289063007,0.443080008
"FY 1990-1991",0.225446001,0.625,0.223214,0.625
"FY 1991-1992",0.366070986,0.647320986,0.367188007,0.649554014
"FY 1992-1993",0.375,0.571429014,0.386161,0.580357015
"FY 1993-1994",0.202009007,0.524554014,0.202009007,0.524554014
"FY 1994-1995",0.224329993,0.419643015,0.224329993,0.417411
"FY 1995-1996",0.207589,0.4375,0.213170007,0.440847993
"FY 1996-1997",0.136161,0.253347993,0.136161,0.254464
"FY 1997-1998",0.114955001,0.248326004,0.115512997,0.25
"FY 1998-1999",0.223772004,0.415737003,0.223214,0.415179014
"FY 1999-2000",0.302455008,1.271762967,0.302455008,1.287387967
"FY 2000-2001",0.246094003,1.209820986,0.25,1.190289974
"FY 2001-2002",0.264286011,0.476785988,0.267500013,0.474821001
"FY 2002-2003",0.241786003,0.463036001,0.242679,0.466250002
"FY 2003-2004",0.231964007,0.498571008,0.234285995,0.498571008
"FY 2004-2005",0.463750005,1.618749976,0.46035701,1.609464049
"FY 2005-2006",1.22142899,3.060714006,1.218929052,3.05678606
"FY 2006-2007",1.847499967,3.48428607,1.80964303,3.467856884
"FY 2007-2008",3.220000029,7.163928986,3.222856998,7.136785984
"FY 2008-2009",2.835356951,6.829642773,2.792856932,6.784286022
"FY 2009-2010",3.717499971,8.449999809,3.881786108,8.423213959
"FY 2010-2011",8.31499958,12.90714264,8.423570633,12.96892929
"FY 2011-2012",11.31000042,22.08499908,11.26142883,22.05785751
"FY 2012-2013",15.0528574,25.08607101,15.00178623,25.07500076
"FY 2013-2014",13.85607147,20.45178604,13.94750023,20.36035728
"FY 2014-2015",18.50178528,33.23500061,18.4985714,33.25
"FY 2015-2016",23.28249931,33.61500168,23.35499954,33.16249847
"FY 2016-2017",22.5,36.04750061,22.58499908,36.02999878
"FY 2017-2018",35.30500031,45.64749908,35.16999817,45.43000031
"FY 2018-2019",35.99499893,57.69499969,35.54750061,58.01750183
"FY 2019-2020",43.86000061,81.18499756,43.32500076,81.80000305
"FY 2020-2021",60.08499908,143.6000061,60.22750092,143.1600037
"FY 2021-2022",123.1600037,182.6300049,122.7699966,182.0099945
"FY 2022-2023",126.0100021,177.5,125.0199966,178.4400024
"FY 2023-2024",161.2200012,198.0200043,160.1000061,198.1100006
"FY 2024-2025",165.3500061,258.1900024,165,259.019989
