Year,Total_Volume
"FY 1980-1981",2976176000
"FY 1981-1982",9237916800
"FY 1982-1983",29073363200
"FY 1983-1984",40736080000
"FY 1984-1985",48258358400
"FY 1985-1986",43753875200
"FY 1986-1987",60190636800
"FY 1987-1988",53399068800
"FY 1988-1989",42912587200
"FY 1989-1990",45601908800
"FY 1990-1991",51407764800
"FY 1991-1992",49777784000
"FY 1992-1993",44769166400
"FY 1993-1994",59472336000
"FY 1994-1995",60740008000
"FY 1995-1996",72107011200
"FY 1996-1997",53044308800
"FY 1997-1998",74060011200
"FY 1998-1999",115357020800
"FY 1999-2000",129122548800
"FY 2000-2001",113414140000
"FY 2001-2002",84796891200
"FY 2002-2003",69531084000
"FY 2003-2004",81517660000
"FY 2004-2005",143506182400
"FY 2005-2006",174322190000
"FY 2006-2007",195154083600
"FY 2007-2008",258232623600
"FY 2008-2009",236625914000
"FY 2009-2010",133955144400
"FY 2010-2011",144369624000
"FY 2011-2012",126428142400
"FY 2012-2013",129795792000
"FY 2013-2014",90425255200
"FY 2014-2015",58331695200
"FY 2015-2016",49257477600
"FY 2016-2017",34213746400
"FY 2017-2018",29649435600
"FY 2018-2019",32757376800
"FY 2019-2020",32682227200
"FY 2020-2021",34354669400
"FY 2021-2022",22004432700
"FY 2022-2023",20419860100
"FY 2023-2024",14314768300
"FY 2024-2025",10685132053
