Year,Min_Open,Max_Open,Min_Close,Max_Close,Min_High,Max_High,Min_Low,Max_Low,Min_Volume,Max_Volume
"FY 2004-2005",2.482232094,5.394144058,2.502753019,5.276776791,2.546046019,5.425425053,2.401401043,5.150400162,81234684,1540945512
"FY 2005-2006",4.503252983,11.85485458,4.505506039,11.80255318,4.578328133,11.88963985,4.500501156,11.74124146,109574316,1643023332
"FY 2006-2007",9.133633614,12.7870369,9.189940453,12.75400352,9.335084915,12.83783817,9.023273468,12.65715694,69238692,901149948
"FY 2007-2008",10.6421423,18.5467968,10.35085106,18.56331253,10.78578568,18.6996994,10.31306267,18.1431427,65070864,930560508
"FY 2008-2009",6.569318771,14.98648643,6.44244194,14.88738728,6.740991116,15.07632637,6.188689232,14.69294262,76783140,728694576
"FY 2009-2010",8.603102684,15.6951952,8.861110687,15.68443394,8.889889717,15.7535038,8.523774147,15.62162209,34313652,428802768
"FY 2010-2011",10.96871853,16.06906891,10.91266346,16.00675774,11.06806755,16.0900898,10.8516016,15.75725746,39540420,592399008
"FY 2011-2012",11.86186218,16.6423912,11.88388443,16.72372437,12.03078079,16.77302361,11.83733654,16.53203201,50529420,561186252
"FY 2012-2013",14.02252293,21.0467968,13.9902401,20.98598671,14.12712669,21.12112045,13.92692661,20.80830765,33602364,497198304
"FY 2013-2014",19.24824715,30.70070076,19.1669178,30.53478432,19.50825882,30.7527523,19.05055046,30.49549484,29338632,462193344
"FY 2014-2015",24.96199989,30.2765007,24.85300064,30.27000046,25.01399994,30.44549942,24.5454998,30.06749916,14754000,121108000
"FY 2015-2016",26.6875,40.02500153,26.63699913,39.69800186,26.98999977,40.51750183,26.45000076,39.36000061,10412000,257162000
"FY 2016-2017",34.12450027,43.68399811,34.05699921,43.61849976,34.16650009,43.72100067,33.63299942,43.41849899,12270000,140798000
"FY 2017-2018",41.92300034,59.40000153,41.99399948,59.37799835,42.18600082,59.90000153,41.72999954,59.20299911,14538000,118672000
"FY 2018-2019",49.2159996,64.45600128,49.23350143,64.27500153,50.60599899,64.5719986,48.88299942,63.15000153,14178000,128220000
"FY 2019-2020",52.22449875,76.36000061,51.93700027,76.24349976,52.5,76.53700256,50.44350052,76.0490036,12802000,133178000
"FY 2020-2021",55,105.3895035,54.63499832,105.9309998,55.9394989,107.2570038,53.75400162,104.6664963,9312000,108358000
"FY 2021-2022",104.6125031,151.25,106.4889984,149.838501,106.7874985,151.5464935,104.5715027,148.8990021,14302000,123200000
"FY 2022-2023",85.40000153,142.8690033,83.43000031,142.9714966,86.51999664,143.7120056,83.33999634,140.3825073,9701400,119455000
"FY 2023-2024",102.3899994,152.8000031,103.7099991,153.5099945,104.5299988,153.7799988,101.9300003,151.4299927,12514300,84366200
"FY 2024-2025",149.9199982,197.25,148.6600037,196.6600037,151.2700043,201.4199982,147.2200012,194.9799957,10242100,68890800
