Year,Min_Open,Max_Open,Min_Close,Max_Close
"FY 2004-2005",2.482232094,5.394144058,2.502753019,5.276776791
"FY 2005-2006",4.503252983,11.85485458,4.505506039,11.80255318
"FY 2006-2007",9.133633614,12.7870369,9.189940453,12.75400352
"FY 2007-2008",10.6421423,18.5467968,10.35085106,18.56331253
"FY 2008-2009",6.569318771,14.98648643,6.44244194,14.88738728
"FY 2009-2010",8.603102684,15.6951952,8.861110687,15.68443394
"FY 2010-2011",10.96871853,16.06906891,10.91266346,16.00675774
"FY 2011-2012",11.86186218,16.6423912,11.88388443,16.72372437
"FY 2012-2013",14.02252293,21.0467968,13.9902401,20.98598671
"FY 2013-2014",19.24824715,30.70070076,19.1669178,30.53478432
"FY 2014-2015",24.96199989,30.2765007,24.85300064,30.27000046
"FY 2015-2016",26.6875,40.02500153,26.63699913,39.69800186
"FY 2016-2017",34.12450027,43.68399811,34.05699921,43.61849976
"FY 2017-2018",41.92300034,59.40000153,41.99399948,59.37799835
"FY 2018-2019",49.2159996,64.45600128,49.23350143,64.27500153
"FY 2019-2020",52.22449875,76.36000061,51.93700027,76.24349976
"FY 2020-2021",55,105.3895035,54.63499832,105.9309998
"FY 2021-2022",104.6125031,151.25,106.4889984,149.838501
"FY 2022-2023",85.40000153,142.8690033,83.43000031,142.9714966
"FY 2023-2024",102.3899994,152.8000031,103.7099991,153.5099945
"FY 2024-2025",149.9199982,197.25,148.6600037,196.6600037
