Year,Total_Volume
"FY 2004-2005",62175861900
"FY 2005-2006",115655236992
"FY 2006-2007",63333255348
"FY 2007-2008",59507017416
"FY 2008-2009",58110603228
"FY 2009-2010",30920052996
"FY 2010-2011",29507223240
"FY 2011-2012",31250973744
"FY 2012-2013",24937069968
"FY 2013-2014",20916854208
"FY 2014-2015",10625131316
"FY 2015-2016",11452672000
"FY 2016-2017",8635310000
"FY 2017-2018",8887448000
"FY 2018-2019",9556930000
"FY 2019-2020",8687596000
"FY 2020-2021",9259852000
"FY 2021-2022",7887326000
"FY 2022-2023",8787568000
"FY 2023-2024",7597567400
"FY 2024-2025",4788699200
