Year,Min_Open,Max_Open,Min_Close,Max_Close,Min_High,Max_High,Min_Low,Max_Low,Min_Volume,Max_Volume
"FY 1985-1986",0.088541999,0.102430999,0.090278,0.102430999,0.092014,0.103298999,0.088541999,0.100694001,12873600,1031788800
"FY 1986-1987",0.094618,0.331597,0.09375,0.335938007,0.095486,0.34375,0.090278,0.331597,2304000,317894400
"FY 1987-1988",0.277778,0.548610985,0.272569001,0.548610985,0.294270992,0.550346971,0.258680999,0.510416985,12672000,324000000
"FY 1988-1989",0.319444001,0.484375,0.319444001,0.483507007,0.321180999,0.489582986,0.314235985,0.475694001,11462400,788688000
"FY 1989-1990",0.331597,0.809028029,0.334201008,0.809028029,0.348957986,0.8125,0.329860985,0.784721971,14198400,326030400
"FY 1990-1991",0.725694001,1.5625,0.71875,1.548611045,0.746528029,1.569443941,0.704860985,1.486111045,13550400,303321600
"FY 1991-1992",1.265625,2.734375,1.286458015,2.739583015,1.328125,2.776041985,1.260416985,2.671875,15009600,191630400
"FY 1992-1993",2.125,2.9375,2.085937977,2.96875,2.15625,2.96875,2.046875,2.929687977,3705600,309884800
"FY 1993-1994",2.226562977,2.992187977,2.21875,3.007812977,2.265625,3.0625,2.199218988,2.976562977,6403200,287936000
"FY 1994-1995",2.578125,4.601562977,2.59375,4.617187977,2.664062977,4.632812977,2.5625,4.570312977,12563200,764504000
"FY 1995-1996",4.34375,6.734375,4.351562977,6.8125,4.414062977,6.828125,4.296875,6.65625,11377600,305092800
"FY 1996-1997",6.3125,12.890625,6.320312977,12.890625,6.351562977,12.9375,6.226562977,12.640625,16246400,257678400
"FY 1997-1998",11.265625,22.625,11.5,22.375,11.703125,22.734375,11.21875,22.125,17392800,231764000
"FY 1998-1999",20.46875,47.25,20.84375,46.5,21.15234375,47.3125,20.46875,46.125,13832400,144719200
"FY 1999-2000",38.375,59.375,38.125,59.5625,38.9375,59.96875,37.75,58.5625,12517600,243819200
"FY 2000-2001",20.375,47.21875,20.75,45.4375,22,48.25,20.15625,45,15734800,313645800
"FY 2001-2002",23.95999908,36.84999847,24.85499954,36.84000015,25.29999924,38.07500076,23.75,36.04000092,11701600,192919600
"FY 2002-2003",20.875,29.91500092,21.41500092,30.19000053,22.52000046,30.20000076,20.70499992,29.60000038,18386000,202307800
"FY 2003-2004",23.71999931,29.76000023,23.67000008,29.95999908,23.97999954,30,23.60000038,29.52000046,12076900,210558300
"FY 2004-2005",23.98999977,30.15999985,23.92000008,29.97999954,24.19000053,30.20000076,23.81999969,29.81999969,24398700,258269000
"FY 2005-2006",24.11000061,28.12000084,24.12000084,28.15999985,24.26000023,28.37999916,23.94000053,27.89999962,27212500,187384300
"FY 2006-2007",21.59000015,31.26000023,21.51000023,31.20999908,21.94000053,31.47999954,21.45999908,31.03000069,20456700,591052200
"FY 2007-2008",27.02000046,37.22000122,26.98999977,37.06000137,27.38999939,37.5,26.87000084,36.63000107,29622600,291138900
"FY 2008-2009",15.19999981,31.62999916,15.14999962,31.79999924,15.61999989,32.09999847,14.86999989,31.15999985,16880400,228467500
"FY 2009-2010",18.22999954,31.35000038,18.61000061,31.38999939,18.76000023,31.5,18.18000031,31.22999954,11083900,281761000
"FY 2010-2011",23.09000015,31.32999992,23.01000023,31.38999939,23.31999969,31.57999992,22.72999954,31.22999954,19502500,176684100
"FY 2011-2012",23.75,32.90999985,23.70999908,32.84999847,24.01000023,32.95000076,23.64999962,32.58000183,21287200,319317900
"FY 2012-2013",26.37999916,32.31000137,26.37000084,32.41999817,26.62999916,32.88999939,26.26000023,32.04999924,20842400,131689200
"FY 2013-2014",28.21999931,40.72000122,28.55999947,40.99000168,28.61000061,41.5,28.11000061,40.40000153,14243000,248428500
"FY 2014-2015",39,49.74000168,39.06000137,49.61000061,39.34999847,50.04999924,38.50999832,49.38999939,11437800,202522400
"FY 2015-2016",40.34000015,56.47000122,40.29000092,56.54999924,40.74000168,56.84999847,39.72000122,56.29000092,9009100,135227100
"FY 2016-2017",48.91999817,65.69000244,48.43000031,65.86000061,49.15000153,66.19000244,48.04000092,65.44999695,8409600,133503000
"FY 2017-2018",65.04000092,97,64.94999695,96.76999664,65.48999786,97.23999786,64.84999847,96.04000092,7425600,71066700
"FY 2018-2019",87.84999847,119.5,88.51999664,120.2200012,90.05000305,120.8199997,87.51000214,117.0899963,13677200,111242100
"FY 2019-2020",118.6299973,190.6499939,119.0199966,188.6999969,119.1100006,190.6999969,118.0999985,186.4700012,8989200,97012700
"FY 2020-2021",151.8600006,245.0299988,152.1100006,244.9900055,155.4799957,246.1300049,150.3600006,242.9199982,10550600,78983000
"FY 2021-2022",238.4700012,344.6199951,239,343.1099854,242.8399963,349.6700134,238.0500031,342.2000122,13900200,90428900
"FY 2022-2023",217.5500031,313.269989,214.25,314.9700012,220.4100037,315.1099854,213.4299927,309.8699951,9200800,86102000
"FY 2023-2024",279.5100098,429.8299866,275.4200134,429.3699951,281.6000061,430.8200073,275.3699951,427.1600037,10176600,78478200
"FY 2024-2025",389.1700134,467,389.3299866,467.5599976,399.8900146,468.3500061,385.5799866,464.4599915,7164500,64263700
