Year,Min_Open,Max_Open,Min_Close,Max_Close
"FY 1985-1986",0.088541999,0.102430999,0.090278,0.102430999
"FY 1986-1987",0.094618,0.331597,0.09375,0.335938007
"FY 1987-1988",0.277778,0.548610985,0.272569001,0.548610985
"FY 1988-1989",0.319444001,0.484375,0.319444001,0.483507007
"FY 1989-1990",0.331597,0.809028029,0.334201008,0.809028029
"FY 1990-1991",0.725694001,1.5625,0.71875,1.548611045
"FY 1991-1992",1.265625,2.734375,1.286458015,2.739583015
"FY 1992-1993",2.125,2.9375,2.085937977,2.96875
"FY 1993-1994",2.226562977,2.992187977,2.21875,3.007812977
"FY 1994-1995",2.578125,4.601562977,2.59375,4.617187977
"FY 1995-1996",4.34375,6.734375,4.351562977,6.8125
"FY 1996-1997",6.3125,12.890625,6.320312977,12.890625
"FY 1997-1998",11.265625,22.625,11.5,22.375
"FY 1998-1999",20.46875,47.25,20.84375,46.5
"FY 1999-2000",38.375,59.375,38.125,59.5625
"FY 2000-2001",20.375,47.21875,20.75,45.4375
"FY 2001-2002",23.95999908,36.84999847,24.85499954,36.84000015
"FY 2002-2003",20.875,29.91500092,21.41500092,30.19000053
"FY 2003-2004",23.71999931,29.76000023,23.67000008,29.95999908
"FY 2004-2005",23.98999977,30.15999985,23.92000008,29.97999954
"FY 2005-2006",24.11000061,28.12000084,24.12000084,28.15999985
"FY 2006-2007",21.59000015,31.26000023,21.51000023,31.20999908
"FY 2007-2008",27.02000046,37.22000122,26.98999977,37.06000137
"FY 2008-2009",15.19999981,31.62999916,15.14999962,31.79999924
"FY 2009-2010",18.22999954,31.35000038,18.61000061,31.38999939
"FY 2010-2011",23.09000015,31.32999992,23.01000023,31.38999939
"FY 2011-2012",23.75,32.90999985,23.70999908,32.84999847
"FY 2012-2013",26.37999916,32.31000137,26.37000084,32.41999817
"FY 2013-2014",28.21999931,40.72000122,28.55999947,40.99000168
"FY 2014-2015",39,49.74000168,39.06000137,49.61000061
"FY 2015-2016",40.34000015,56.47000122,40.29000092,56.54999924
"FY 2016-2017",48.91999817,65.69000244,48.43000031,65.86000061
"FY 2017-2018",65.04000092,97,64.94999695,96.76999664
"FY 2018-2019",87.84999847,119.5,88.51999664,120.2200012
"FY 2019-2020",118.6299973,190.6499939,119.0199966,188.6999969
"FY 2020-2021",151.8600006,245.0299988,152.1100006,244.9900055
"FY 2021-2022",238.4700012,344.6199951,239,343.1099854
"FY 2022-2023",217.5500031,313.269989,214.25,314.9700012
"FY 2023-2024",279.5100098,429.8299866,275.4200134,429.3699951
"FY 2024-2025",389.1700134,467,389.3299866,467.5599976
