Year,Total_Volume
"FY 1985-1986",1857052800
"FY 1986-1987",11106950400
"FY 1987-1988",23825347200
"FY 1988-1989",18224424000
"FY 1989-1990",18786312000
"FY 1990-1991",19150408800
"FY 1991-1992",15271572000
"FY 1992-1993",15587280000
"FY 1993-1994",16058582400
"FY 1994-1995",16541209600
"FY 1995-1996",21132100800
"FY 1996-1997",17215109600
"FY 1997-1998",16066737200
"FY 1998-1999",15667484000
"FY 1999-2000",15071346600
"FY 2000-2001",20896070000
"FY 2001-2002",17045680200
"FY 2002-2003",20252743200
"FY 2003-2004",15928570300
"FY 2004-2005",17288676700
"FY 2005-2006",16236661700
"FY 2006-2007",16843072500
"FY 2007-2008",17504092600
"FY 2008-2009",20214763200
"FY 2009-2010",14631181400
"FY 2010-2011",16134905000
"FY 2011-2012",14787326500
"FY 2012-2013",11473520600
"FY 2013-2014",11894467000
"FY 2014-2015",8385456000
"FY 2015-2016",9043440600
"FY 2016-2017",6859297500
"FY 2017-2018",6258787900
"FY 2018-2019",7650865400
"FY 2019-2020",7480753800
"FY 2020-2021",8333113500
"FY 2021-2022",7070211000
"FY 2022-2023",7486437600
"FY 2023-2024",6288510700
"FY 2024-2025",4277350700
