Year,Min_Open,Max_Open,Min_Close,Max_Close,Min_High,Max_High,Min_Low,Max_Low,Min_Volume,Max_Volume
1998-1999,0.036719002,0.052604001,0.037239999,0.049479,0.038541999,0.054687999,0.036068,0.048307002,36672000,2714688000
1999-2000,0.034896001,0.30924499,0.034115002,0.310938001,0.035546999,0.3125,0.033333,0.224999994,19680000,2415168000
2000-2001,0.120833002,0.358723998,0.116145998,0.360285997,0.139322996,0.366667002,0.114583001,0.33724001,105552000,1990560000
2001-2002,0.197999999,0.605499983,0.199000001,0.597582996,0.217500001,0.605499983,0.188832998,0.569999993,254016000,5135472000
2002-2003,0.060833,0.366167009,0.061416999,0.363582999,0.065667003,0.372417003,0.059999999,0.353083014,300336000,4837140000
2003-2004,0.108750001,0.230083004,0.110417001,0.221416995,0.111667,0.231250003,0.107166998,0.217916995,206136000,9230856000
2004-2005,0.080582999,0.242667004,0.078583002,0.241583005,0.083916999,0.246666998,0.077500001,0.238582999,204420000,5088948000
2005-2006,0.176833004,0.478583008,0.176667005,0.478917003,0.180666998,0.485249996,0.174333006,0.474249989,116676000,2650320000
2006-2007,0.293166995,0.641667008,0.294499993,0.644999981,0.300166994,0.649333,0.286166996,0.637166977,144336000,1603272000
2007-2008,0.437999994,0.991750002,0.441500008,0.988499999,0.462000012,0.991750002,0.432749987,0.960500002,104008000,2184296000
2008-2009,0.150000006,0.626999974,0.147499993,0.621249974,0.159500003,0.633750021,0.143749997,0.614250004,146616000,2987520000
2009-2010,0.209749997,0.469500005,0.209999993,0.472000003,0.217500001,0.474000007,0.208250001,0.466500014,136812000,2930564000
2010-2011,0.217999995,0.640500009,0.222000003,0.64200002,0.226249993,0.654250026,0.216250002,0.633750021,143104000,3493312000
2011-2012,0.287999988,0.510500014,0.293249995,0.512499988,0.305000007,0.513000011,0.286749989,0.493750006,186956000,3195784000
2012-2013,0.287250012,0.386000007,0.284500003,0.383249998,0.290749997,0.387250006,0.278750002,0.377750009,127376000,1435140000
2013-2014,0.301750004,0.469999999,0.303250015,0.472750008,0.307249993,0.476249993,0.300999999,0.466250002,79600000,1159588000
2014-2015,0.42324999,0.58525002,0.419750005,0.586749971,0.432500005,0.590250015,0.419250011,0.579750001,45644000,894348000
2015-2016,0.481249988,0.898000002,0.482749999,0.893999994,0.488249987,0.90625,0.47725001,0.887499988,52448000,1405248000
2016-2017,0.872749984,2.998250008,0.869000018,2.978250027,0.87924999,3.023000002,0.860000014,2.94749999,178280000,2295764000
2017-2018,2.400249958,6.292250156,2.387249947,6.262000084,2.430249929,6.362500191,2.387249947,6.211999893,180752000,3692928000
2018-2019,3.162250042,7.232999802,3.177000046,7.234000206,3.249500036,7.318999767,3.111500025,7.139500141,197036000,2511528000
2019-2020,3.397749901,7.819250107,3.344500065,7.867499828,3.436749935,7.907999992,3.315000057,7.537250042,138864000,1133252000
2020-2021,6.105999947,15.17099953,6.076749802,15.33024979,6.390749931,15.37250042,5.959750175,14.94999981,97884000,1463684000
2021-2022,13.56649971,33.51699829,13.66524982,33.37599945,13.86999989,34.64699936,13.45899963,32.0359993,146276000,1153631000
2022-2023,10.97099972,27.375,11.22700024,27.77700043,11.73499966,27.83399963,10.81299973,27.10499954,167934000,1178865000
2023-2024,26.50399971,95.85099792,26.24099922,95.0019989,26.88299942,97.40000153,26.21999931,93.51000214,198209000,1543911000
2024-2025,78.10399628,149.3500061,76.19999695,148.8800049,80.07299805,152.8899994,75.60600281,146.2599945,141863200,875198000
