Year,Min_Open,Max_Open,Min_Close,Max_Close
1998-1999,0.036719002,0.052604001,0.037239999,0.049479
1999-2000,0.034896001,0.30924499,0.034115002,0.310938001
2000-2001,0.120833002,0.358723998,0.116145998,0.360285997
2001-2002,0.197999999,0.605499983,0.199000001,0.597582996
2002-2003,0.060833,0.366167009,0.061416999,0.363582999
2003-2004,0.108750001,0.230083004,0.110417001,0.221416995
2004-2005,0.080582999,0.242667004,0.078583002,0.241583005
2005-2006,0.176833004,0.478583008,0.176667005,0.478917003
2006-2007,0.293166995,0.641667008,0.294499993,0.644999981
2007-2008,0.437999994,0.991750002,0.441500008,0.988499999
2008-2009,0.150000006,0.626999974,0.147499993,0.621249974
2009-2010,0.209749997,0.469500005,0.209999993,0.472000003
2010-2011,0.217999995,0.640500009,0.222000003,0.64200002
2011-2012,0.287999988,0.510500014,0.293249995,0.512499988
2012-2013,0.287250012,0.386000007,0.284500003,0.383249998
2013-2014,0.301750004,0.469999999,0.303250015,0.472750008
2014-2015,0.42324999,0.58525002,0.419750005,0.586749971
2015-2016,0.481249988,0.898000002,0.482749999,0.893999994
2016-2017,0.872749984,2.998250008,0.869000018,2.978250027
2017-2018,2.400249958,6.292250156,2.387249947,6.262000084
2018-2019,3.162250042,7.232999802,3.177000046,7.234000206
2019-2020,3.397749901,7.819250107,3.344500065,7.867499828
2020-2021,6.105999947,15.17099953,6.076749802,15.33024979
2021-2022,13.56649971,33.51699829,13.66524982,33.37599945
2022-2023,10.97099972,27.375,11.22700024,27.77700043
2023-2024,26.50399971,95.85099792,26.24099922,95.0019989
2024-2025,78.10399628,149.3500061,76.19999695,148.8800049
