Year,Total_Volume
1998-1999,9445392000
1999-2000,83710656000
2000-2001,130960992000
2001-2002,306553056000
2002-2003,300322260000
2003-2004,219646788000
2004-2005,180652836000
2005-2006,146573424000
2006-2007,162152196000
2007-2008,151862926000
2008-2009,213396096000
2009-2010,177266588000
2010-2011,233664728000
2011-2012,181406616000
2012-2013,111472472000
2013-2014,83811984000
2014-2015,66839664000
2015-2016,86260160000
2016-2017,129774260000
2017-2018,170750064000
2018-2019,137464684000
2019-2020,108375472000
2020-2021,108391516000
2021-2022,103096703000
2022-2023,134475106000
2023-2024,120210549000
2024-2025,58409153000
