date,Year,Month,open,high,low,close,adj_close,volume
4-Jan-2000,1999-2000,Jan-00,6000,6110,5660,6110,4323.041992,74195000
5-Jan-2000,1999-2000,Jan-00,5800,6060,5520,5580,3948.04834,74680000
6-Jan-2000,1999-2000,Jan-00,5750,5780,5580,5620,3976.349854,54390000
7-Jan-2000,1999-2000,Jan-00,5560,5670,5360,5540,3919.747314,40305000
10-Jan-2000,1999-2000,Jan-00,5600,5770,5580,5770,4082.481445,46880000
11-Jan-2000,1999-2000,Jan-00,5820,6100,5770,5770,4082.481445,59745000
12-Jan-2000,1999-2000,Jan-00,5610,5740,5600,5720,4047.102295,29220000
13-Jan-2000,1999-2000,Jan-00,5600,5740,5560,5710,4040.02832,41190000
14-Jan-2000,1999-2000,Jan-00,5720,5880,5680,5830,4124.932129,49375000
17-Jan-2000,1999-2000,Jan-00,6000,6180,5920,6100,4315.966797,63505000
18-Jan-2000,1999-2000,Jan-00,6160,6160,5980,6100,4315.966797,45260000
19-Jan-2000,1999-2000,Jan-00,6000,6040,5960,5960,4216.911621,40205000
20-Jan-2000,1999-2000,Jan-00,5860,6040,5820,6040,4273.515625,37315000
21-Jan-2000,1999-2000,Jan-00,5950,5980,5880,5880,4160.308105,32535000
24-Jan-2000,1999-2000,Jan-00,5800,5900,5700,5700,4032.952881,34355000
25-Jan-2000,1999-2000,Jan-00,5520,5640,5440,5440,3848.993408,44250000
26-Jan-2000,1999-2000,Jan-00,5500,5520,5410,5480,3877.294922,29285000
27-Jan-2000,1999-2000,Jan-00,5480,5620,5430,5520,3905.595703,27900000
28-Jan-2000,1999-2000,Jan-00,5640,5880,5540,5820,4117.856934,38315000
31-Jan-2000,1999-2000,Jan-00,5640,5730,5560,5580,3948.04834,39630000
1-Feb-2000,1999-2000,Feb-00,5600,5680,5260,5320,3764.089111,71470000
2-Feb-2000,1999-2000,Feb-00,5220,5370,5110,5250,3714.5625,64105000
3-Feb-2000,1999-2000,Feb-00,5250,5460,4970,5130,3629.656494,142765000
4-Feb-2000,1999-2000,Feb-00,5130,5130,5130,5130,3629.656494,0
7-Feb-2000,1999-2000,Feb-00,5140,5330,5040,5240,3707.48584,64140000
8-Feb-2000,1999-2000,Feb-00,5340,5480,5310,5430,3841.918457,58460000
9-Feb-2000,1999-2000,Feb-00,5560,5720,5480,5720,4047.102295,51050000
10-Feb-2000,1999-2000,Feb-00,5660,5880,5600,5760,4075.404785,61845000
11-Feb-2000,1999-2000,Feb-00,5960,5960,5680,5700,4032.952881,34660000
14-Feb-2000,1999-2000,Feb-00,5600,5660,5340,5380,3806.540771,44140000
15-Feb-2000,1999-2000,Feb-00,5380,5420,5140,5200,3679.184814,38315000
16-Feb-2000,1999-2000,Feb-00,5180,5200,4780,5000,3537.678711,73115000
17-Feb-2000,1999-2000,Feb-00,4940,5100,4910,5080,3594.280762,65185000
18-Feb-2000,1999-2000,Feb-00,5370,5630,5160,5300,3749.937256,108750000
21-Feb-2000,1999-2000,Feb-00,5200,5260,5030,5070,3587.206055,26485000
22-Feb-2000,1999-2000,Feb-00,5000,5240,5000,5120,3622.581543,24180000
23-Feb-2000,1999-2000,Feb-00,5220,5260,5100,5140,3636.733154,27720000
24-Feb-2000,1999-2000,Feb-00,5120,5240,5060,5070,3587.206055,26075000
25-Feb-2000,1999-2000,Feb-00,5080,5150,4980,5120,3622.581543,27875000
28-Feb-2000,1999-2000,Feb-00,5000,5050,4800,4800,3396.170654,30140000
29-Feb-2000,1999-2000,Feb-00,4900,5140,4840,5120,3622.581543,51820000
1-Mar-2000,1999-2000,Mar-00,5120,5120,5120,5120,3622.581543,0
2-Mar-2000,1999-2000,Mar-00,5880,5880,5520,5880,4160.308105,117750000
3-Mar-2000,1999-2000,Mar-00,6200,6250,5880,6000,4245.212891,140990000
6-Mar-2000,1999-2000,Mar-00,6000,6050,5600,5640,3990.500244,39150000
7-Mar-2000,1999-2000,Mar-00,5600,5640,5480,5620,3976.349854,30070000
8-Mar-2000,1999-2000,Mar-00,5520,6000,5500,5920,4188.61084,32460000
9-Mar-2000,1999-2000,Mar-00,5970,5980,5620,5620,3976.349854,55890000
10-Mar-2000,1999-2000,Mar-00,5790,5800,5520,5540,3919.747314,28605000
13-Mar-2000,1999-2000,Mar-00,5480,5490,5160,5180,3665.0354,32215000
14-Mar-2000,1999-2000,Mar-00,5170,5380,5160,5210,3686.260742,30060000
15-Mar-2000,1999-2000,Mar-00,5200,5400,5120,5400,3820.691406,46105000
16-Mar-2000,1999-2000,Mar-00,5480,5520,5360,5400,3820.691406,28795000
17-Mar-2000,1999-2000,Mar-00,5540,5560,5400,5480,3877.294922,24080000
