Month,Min_Open,Max_Open,Min_Close,Max_Close,Min_High,Max_High,Min_Low,Max_Low,Min_Volume,Max_Volume
Apr-00,5420,7500,5400,7300,5700,7500,5340,7200,0,78050000
Apr-01,3660,4720,3640,4700,3660,4920,3610,4580,0,131305000
Apr-02,7150,8460,7120,8640,7300,8640,7110,8360,0,78395000
Apr-03,5520,6240,5580,6300,5680,6340,5440,6170,20485000,60345000
Apr-04,11200,12740,11140,12740,11300,12760,10980,12520,0,69125000
Apr-05,9040,10480,9040,10440,9130,10500,8990,10400,0,43345000
Apr-06,12520,13800,12600,13800,12660,13940,12500,13400,12271800,40474150
Apr-07,11280,12080,11280,12080,11420,12200,11240,11900,12778300,44768400
Apr-08,12560,14340,12720,14320,12820,14380,12360,14120,17081100,50257700
Apr-09,11220,12320,11140,12540,11560,12640,11100,12220,16499450,45867800
Apr-10,16400,17480,16500,17400,16500,17500,16300,17220,11003100,28068050
Apr-11,17060,18960,17340,18900,17500,18960,17060,18780,11922000,32044250
Apr-12,25020,27900,24980,27800,25280,28180,24820,27540,8388400,35409200
Apr-13,29300,31320,29500,30800,29840,31320,29100,30360,5295500,18705000
Apr-14,26900,28400,26780,28140,26900,28560,26520,27980,3299250,19098800
Apr-15,27340,29700,27320,29800,27880,29880,27180,29560,6270150,19089900
Apr-16,24920,26180,24900,26100,25340,26200,24800,25840,4597850,16766350
Apr-17,40480,45780,40280,44620,40800,45800,40080,44520,5224750,23032250
Apr-18,47400,53380,46920,53000,48140,53640,46920,53000,0,30310800
Apr-19,44200,47400,44650,47250,45000,47600,43800,47000,5513658,13697399
Apr-20,46200,51400,45800,51400,46850,52000,45350,50300,14049471,32041675
Apr-21,81900,86200,81500,86000,82100,86200,81500,85400,12915282,22997538
Apr-22,65100,69500,64800,69300,65500,69600,64500,69100,8467248,26190390
Apr-23,63400,66600,62300,66100,63600,66600,62300,65400,9176149,27476120
Apr-24,76400,85200,75500,85300,76800,86000,75100,84500,12755629,37077944
Apr-25,53300,58800,53000,58800,54100,59600,52900,58300,5848342,31998883
Aug-00,5660,6500,5470,6460,5750,6560,5380,6340,0,114120000
Aug-01,3630,4020,3660,3990,3730,4040,3630,3950,0,57875000
Aug-02,6100,7040,6000,7000,6100,7060,5970,6950,0,61465000
Aug-03,7940,9000,8000,8920,8160,9000,7930,8840,0,28335000
Aug-04,8110,9170,8160,9170,8260,9250,8060,9110,12080000,28485000
Aug-05,10680,11560,10800,11560,10840,11640,10660,11560,0,33515000
Aug-06,12060,13200,12100,13180,12220,13360,12000,13100,8121450,38826150
Aug-07,11160,12400,11240,12420,11360,12500,11160,12320,15727400,53035500
Aug-08,10400,11900,10320,11900,10520,12040,10240,11780,0,36455950
Aug-09,14000,15500,13860,15660,14040,15700,13820,15480,14562850,31875550
Aug-10,15300,16400,15120,16300,15440,16440,15120,16300,6984450,22051950
Aug-11,13680,17100,13600,17400,13940,17500,13440,17100,10612300,49299200
Aug-12,23720,27080,23600,26960,24060,27100,23460,26760,9891050,63803450
Aug-13,24260,27200,24340,27360,24700,27360,24260,27020,6499850,20929450
Aug-14,24460,26120,24440,26340,24620,26560,24420,26000,8407650,28231050
Aug-15,21360,23680,21340,23640,21480,23740,20660,23400,0,27947600
Aug-16,30380,33600,30340,33740,30660,33880,30340,33180,6958850,20532200
Aug-17,45120,49200,44620,49000,45300,49340,44220,48600,5103450,25407300
Aug-18,43500,47100,43850,48450,44200,48450,43500,47000,5263782,16670643
Aug-19,42500,44900,42650,45200,43350,45500,42500,44850,5017381,16926881
Aug-20,55800,59400,54000,59000,56100,59900,54000,58000,14021705,32671367
Aug-21,73300,83300,72700,82900,73900,83300,72500,82000,11739124,61270643
Aug-22,58200,61700,58600,61700,58900,61900,58200,61200,5767902,18251170
Aug-23,66000,70700,66300,71100,66700,71200,65800,70000,5824628,20087090
Aug-24,73000,86000,71400,83100,73900,86100,70200,83100,7805598,54608790
Aug-25,69200,72000,68800,71900,69400,72400,68300,71400,11354253,24038534
Dec-00,3080,3620,3100,3780,3140,3780,3040,3560,0,96425000
Dec-01,4430,5600,4490,5670,4500,5860,4290,5580,0,115130000
Dec-02,6280,7760,6280,7860,6280,7900,6260,7740,0,57605000
Dec-03,8750,9400,8780,9420,8780,9510,8710,9330,0,52095000
Dec-04,8000,9010,8040,9010,8070,9020,7980,9010,0,43090000
Dec-05,11920,13200,12000,13220,12120,13400,11860,13140,12418300,29408600
Dec-06,12000,12960,12000,12820,12180,13020,11980,12780,8220950,43086900
Dec-07,11000,12280,11120,12280,11280,12340,10880,12120,10745000,56259050
Dec-08,8510,9990,8540,9790,8740,10040,8510,9620,0,51925650
Dec-09,14400,15800,14740,15980,14740,15980,14360,15740,6840100,44528150
Dec-10,16480,18840,16400,18980,16560,19060,16280,18840,8471650,39373850
Dec-11,20160,21480,20140,21680,20580,21680,19680,21320,6216250,34717150
Dec-12,28400,30320,28600,30660,28680,30720,28160,30160,9143900,30680500
Dec-13,27820,30000,27440,29340,27940,30060,27200,29340,6996900,16908100
Dec-14,25320,26920,25320,27040,25580,27140,25040,26860,5637800,20490850
Dec-15,25200,26420,25080,26420,25320,26440,24820,25880,6916100,15193350
