Year,Min_Open,Max_Open,Min_Close,Max_Close,Min_High,Max_High,Min_Low,Max_Low,Min_Volume,Max_Volume
1999-2000,4900,7520,4800,7660,5050,7680,4780,7050,0,142765000
2000-2001,2540,7780,2730,7760,2760,7880,2420,7570,0,164215000
2001-2002,2760,7370,2810,7360,2810,7420,2680,7260,0,131305000
2002-2003,5320,8460,5390,8640,5460,8640,5190,8360,0,100015000
2003-2004,5520,11420,5580,11440,5680,11440,5440,11280,0,73785000
2004-2005,8000,12740,8040,12740,8070,12760,7980,12520,0,72110000
2005-2006,9040,14760,9040,14800,9130,14860,8990,14460,0,49381050
2006-2007,10880,13800,10980,13800,11220,13940,10820,13420,0,45093800
2007-2008,10200,13700,10140,13740,10360,13740,10000,13180,10591650,82871050
2008-2009,8150,15200,8040,15280,8630,15280,8040,14980,0,64873450
2009-2010,10800,17000,10700,17000,10940,17000,10400,16580,6840100,58004900
2010-2011,14800,20180,14800,20200,14960,20280,14700,19820,6984450,44525300
2011-2012,13680,26000,13600,26220,13940,26220,13440,25900,6216250,49299200
2012-2013,21920,31640,21820,31520,22520,31680,21820,30960,6132250,63803450
2013-2014,24260,31320,24340,30880,24700,31320,24180,30740,5295500,54290800
2014-2015,21640,30200,21660,30060,22000,30200,21560,29720,3299250,44377800
2015-2016,21360,29700,21340,29800,21480,29880,20660,29560,0,39975100
2016-2017,24920,42200,24900,42560,25240,42680,24800,41880,4597850,62527700
2017-2018,40480,57500,40280,57220,40800,57520,40080,56760,0,64681300
2018-2019,37450,53380,37450,53000,37600,53900,36850,53000,0,63491109
2019-2020,41300,62000,41200,62400,42050,62800,40850,61700,0,59462933
2020-2021,46200,90300,45800,91000,46850,96800,45350,89500,9322232,90306177
2021-2022,68700,86200,68800,86000,69500,86200,68300,85400,0,61270643
2022-2023,52300,69500,52600,69300,53600,69600,51800,69100,28613,34111306
2023-2024,63400,81200,62300,82400,63600,82500,62300,80900,2957915,57691266
2024-2025,50200,88500,49900,87800,51400,88800,49900,87100,7805598,54608790
2025-2026,53300,73000,53000,72600,54100,74000,52900,71400,5848342,39448683
