Year,Total_Volume
1999-2000,3273220000
2000-2001,12293270000
2001-2002,8974205000
2002-2003,9914485000
2003-2004,6911870000
2004-2005,6907310000
2005-2006,5365470000
2006-2007,4912565300
2007-2008,6956894000
2008-2009,7079326500
2009-2010,5540467100
2010-2011,4642305450
2011-2012,4633866950
2012-2013,3825203300
2013-2014,3123956650
2014-2015,3001982100
2015-2016,2932983450
2016-2017,3037977500
2017-2018,2966844950
2018-2019,2853724996
2019-2020,3418806961
2020-2021,5521145378
2021-2022,3732518512
2022-2023,3235506728
2023-2024,3623920761
2024-2025,5342412555
2025-2026,1597732669
